wavelength_nm,pde_5v_percent,pde_2p5v_percent
305,4.2,3.0
310,4.2,3.3
315,6.0,5.2
320,10.0,8.0
325,16.0,13.0
330,21.0,17.0
340,28.0,20.5
350,29.5,22.5
360,30.3,23.5
370,31.5,24.5
380,35.0,27.0
390,37.5,28.5
400,39.2,29.8
410,40.5,30.3
420,41.0,30.5
430,40.8,30.0
440,40.0,29.3
450,39.0,28.2
460,37.8,26.7
470,36.5,25.2
480,35.0,23.8
490,33.0,22.3
500,31.0,20.5
510,29.0,19.0
520,27.0,17.5
530,25.5,16.5
540,24.0,15.3
550,22.3,14.3
560,21.0,13.2
570,19.6,12.5
580,18.5,11.8
590,17.4,11.0
600,16.2,10.2
610,15.3,9.6
620,14.2,9.0
630,13.5,8.5
640,12.7,8.0
650,12.0,7.5
660,11.2,7.0
670,10.6,6.7
680,10.0,6.4
690,9.3,6.0
700,8.6,5.6
710,7.9,5.1
720,7.3,4.8
730,6.8,4.4
740,6.3,4.0
750,5.8,3.6
760,5.4,3.3
770,4.9,3.1
780,4.5,2.8
790,4.2,2.6
800,3.9,2.4
810,3.5,2.2
820,3.2,2.0
830,3.0,1.85
840,2.8,1.7
850,2.55,1.55
860,2.35,1.45
870,2.15,1.35
880,1.95,1.25
890,1.8,1.15
900,1.65,1.05
910,1.45,0.95
920,1.3,0.85
930,1.1,0.75
940,1.0,0.65
950,0.9,0.55
