event_id,max_sipm,max_sipm_count
0,19,263
1,29,162
2,24,194
3,14,120
4,11,414
5,21,285
6,30,434
7,22,255
8,31,1818
9,6,478
10,18,237
11,12,296
12,11,960
13,20,231
14,3,1315
15,20,393
16,10,544
17,24,210
18,19,298
19,1,1258
20,28,531
21,9,219
22,12,350
23,23,365
24,22,1330
25,20,376
26,2,602
27,17,212
28,16,164
29,5,421
30,1,881
31,1,375
32,7,148
33,1,297
34,6,254
35,9,499
36,8,172
37,3,368
38,25,492
39,2,487
40,23,260
41,27,552
42,10,440
43,27,487
44,11,278
45,29,452
46,30,857
47,1,196
48,7,449
49,7,441
50,11,1373
51,16,59
52,16,217
53,19,193
54,29,551
55,17,332
56,10,292
57,18,232
58,14,228
59,17,1168
60,20,238
61,9,259
62,29,490
63,14,344
64,3,2278
65,8,434
66,6,343
67,26,341
68,25,419
69,18,640
70,31,238
71,6,164
72,3,701
73,20,156
74,31,358
75,10,303
76,19,250
77,17,136
78,10,369
79,19,177
80,16,389
81,21,271
82,27,362
83,19,171
84,18,290
85,17,186
86,19,731
87,13,301
88,3,497
89,24,279
90,11,502
91,13,292
92,10,414
93,26,336
94,1,1009
95,4,361
96,0,488
97,3,1445
98,18,211
99,29,503
100,1,485
101,20,386
102,21,403
103,29,185
104,4,328
105,3,934
106,18,122
107,16,198
108,8,310
109,27,1065
110,23,300
111,23,361
112,15,366
113,17,369
114,16,257
115,14,434
116,15,323
117,28,454
118,0,786
119,6,404
120,6,500
121,3,498
122,26,246
123,8,169
124,9,376
125,21,383
126,12,250
127,21,5986
128,3,235
129,2,287
130,14,337
131,19,214
132,18,158
133,9,164
134,29,442
135,4,814
136,31,674
137,15,506
138,19,219
139,18,168
140,11,391
141,4,1067
142,8,307
143,7,268
144,17,259
145,24,347
146,17,176
147,13,272
148,26,505
149,18,202
150,5,1234
151,25,152
152,11,514
153,12,140
154,10,200
155,8,179
156,29,375
157,21,687
158,1,289
159,27,347
160,29,306
161,24,239
162,1,303
163,19,340
164,8,621
165,13,350
166,9,682
167,20,160
168,6,185
169,24,912
170,9,239
171,29,253
172,16,253
173,22,1224
174,12,645
175,14,602
176,11,347
177,14,285
178,21,457
179,20,938
180,28,678
181,13,272
182,5,793
183,5,558
184,19,146
185,9,195
186,2,455
187,3,1080
188,25,166
189,31,221
190,15,413
191,4,192
192,9,276
