bin_left_inclusive,bin_right_exclusive,events
0,50,0
50,100,2
100,150,25
150,200,130
200,250,141
250,300,122
300,350,115
350,400,104
400,450,67
450,500,56
500,550,39
550,600,27
600,650,24
650,700,22
700,750,20
750,800,14
800,850,7
850,900,10
900,950,13
950,1000,8
1000,1050,5
1050,1100,8
1100,1150,2
1150,1200,6
1200,1250,5
1250,1300,2
1300,1350,7
1350,1400,1
1400,1450,1
1450,1500,2
1500,1550,1
1550,1600,0
1600,1650,3
1650,1700,1
1700,1750,0
1750,1800,0
1800,1850,1
1850,1900,1
1900,1950,0
1950,2000,0
2000,-1,8
