reference,virtual_quadrants,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,False,16,euclidean,l1,inverse,25000,2500,1000,1.8929600429611975,1.6291589196129503,2.2122536617822655,4.211879092123778,0.22464361998258967,1.5708427649344072,0.33146705994204384,1.5769868182335034
events,False,24,euclidean,l1,uniform,25000,2500,1000,1.8879306899465533,1.633913826183426,2.218508658520744,4.135273049829362,0.23387266699999884,1.5701869548060947,0.3416380583333321,1.5536982870532738
events,False,32,euclidean,l1,inverse2,25000,2500,1000,1.8892600821100873,1.670654817947581,2.2208727172856433,4.210055804405288,0.24028998209946195,1.5643473384684579,0.33885012514595075,1.5563827592339476
events,False,32,euclidean,l1,inverse,25000,2500,1000,1.8930262897214971,1.6848558500714352,2.2215282407405343,4.2169369707855555,0.2404730647078197,1.5670609140448846,0.3383455580556945,1.5589026673327646
events,False,16,euclidean,l1,inverse2,25000,2500,1000,1.8912323001815923,1.6264215893982414,2.222020541181177,4.235865743505407,0.22493575145797598,1.5692873904412175,0.33122277834732755,1.57519055629066
events,False,16,euclidean,l1,uniform,25000,2500,1000,1.8951200007426274,1.644257866643483,2.224462260259361,4.262683669940514,0.22443516699999996,1.5727563640692732,0.33199222500000003,1.5791269652669737
events,False,24,euclidean,l1,inverse2,25000,2500,1000,1.883119917710869,1.6280371955436792,2.234930804182479,4.089118553252035,0.2336995266535222,1.5658081554368688,0.3410562563323189,1.5511953283676827
events,False,32,euclidean,l1,uniform,25000,2500,1000,1.8969551559628794,1.696010497677253,2.2385321495939956,4.233348167531101,0.24071641699999996,1.5699840156342442,0.33808597500000004,1.561522198190772
events,False,24,euclidean,l1,inverse,25000,2500,1000,1.885405778796951,1.6288340130448002,2.2422731683553834,4.127857548784393,0.2337469118523072,1.5678669852277773,0.34122294091526406,1.5523674327791472
events,False,8,euclidean,l1,inverse,25000,2500,1000,1.939517183047577,1.6683690550164023,2.2489331616262453,4.368289026763788,0.19985645532871577,1.6060001941554365,0.3205000340720713,1.6310455557697896
events,False,8,euclidean,l1,inverse2,25000,2500,1000,1.9390971419918068,1.6640805443532032,2.253343079049582,4.378431683110697,0.20173136006343664,1.6058342359163558,0.3205083034292623,1.6287009936871075
events,False,12,euclidean,l1,inverse2,25000,2500,1000,1.9206542644158,1.6253655811007623,2.2576645123035757,4.2722706172677825,0.21943966791179076,1.5903316525781612,0.3160893457951835,1.6076863119580769
events,False,8,euclidean,l1,uniform,25000,2500,1000,1.941009184031453,1.6703951568057116,2.2609894199696026,4.365852775855653,0.19799766699999996,1.6067538007080127,0.32080472500000007,1.6343140087260133
events,False,12,euclidean,l1,inverse,25000,2500,1000,1.9230767872499543,1.634818535138208,2.27493592624874,4.269996673028049,0.21885005477411534,1.5922934714357668,0.3155039317337182,1.61065857900391
events,False,12,euclidean,l1,uniform,25000,2500,1000,1.9262584536074667,1.6388282855518075,2.294695563149694,4.28025752209363,0.21833100033333222,1.5947069111557906,0.3151797249999988,1.6142255305013713
events,False,5,euclidean,l1,uniform,25000,2500,1000,1.9724306485942253,1.7063940630294514,2.3292212068854825,4.653488588126152,0.197247667000001,1.657012331783242,0.263379725000001,1.6499905755426612
events,False,5,euclidean,l1,inverse,25000,2500,1000,1.973648283296187,1.7086409349191576,2.339289462212322,4.64785837622013,0.198894840877852,1.6562321040004324,0.26655231735072027,1.650215984859209
events,False,5,euclidean,l1,inverse2,25000,2500,1000,1.9762724808804137,1.7003180144445609,2.341535261975246,4.646926954645264,0.2005549911199141,1.656171276405976,0.26994786085530914,1.6515995222847453
events,False,3,euclidean,l1,uniform,25000,2500,1000,2.1132481918720165,1.8445977830121771,2.428523672446888,4.688311395686756,0.21758100033333208,1.7625213504712278,0.28617972499999883,1.7691684272277977
events,False,3,euclidean,l1,inverse,25000,2500,1000,2.1131914452702176,1.823549081647207,2.4313581087159917,4.705912784123763,0.2183570803323458,1.759793766074279,0.2896224677529635,1.77003511012501
events,False,3,euclidean,l1,inverse2,25000,2500,1000,2.1143190767381763,1.825410288663039,2.45039667231659,4.729886376003379,0.21923668222972764,1.758036627163591,0.2931513196028624,1.772051849525114
events,False,1,euclidean,l1,uniform,25000,2500,1000,2.6437909571041343,2.2745719933183355,3.1030221483028924,6.1235589664055095,0.23324766699999994,2.186316429366841,0.36717972499999996,2.2521570334400525
events,False,1,euclidean,l1,inverse,25000,2500,1000,2.6437909571041343,2.2745719933183355,3.1030221483028924,6.1235589664055095,0.23324766699999994,2.186316429366841,0.36717972499999996,2.2521570334400525
events,False,1,euclidean,l1,inverse2,25000,2500,1000,2.6437909571041343,2.2745719933183355,3.1030221483028924,6.1235589664055095,0.23324766699999994,2.186316429366841,0.36717972499999996,2.2521570334400525
