method,subset,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
virtual_quadrants,all,1000,1.8899357496294684,1.6204313637576888,2.211597170291912,4.4245639044323335,0.17404680962369581,1.5805969725857163,0.2857477686076276,1.5834643808208213
virtual_quadrants,symmetry_edge_lt5cm,210,2.2490624227052014,1.9645460637927328,2.6784045323458336,5.067505459451609,0.3425392692594853,1.625589605325065,0.6647504264889703,1.9937761336875715
virtual_quadrants,symmetry_edge_lt10cm,380,2.195732188001929,1.9645460637927328,2.67357025592775,5.0495514455120425,0.36833649477367936,1.7077027732932606,0.501673410384394,1.8682377757004545
virtual_quadrants,outer_edge_gt45cm,179,1.888463591408532,1.603087195666585,2.2864775515928133,4.2207335547823535,-0.8301452002773619,1.571802654173184,-0.515979288966679,1.3648925034232149
virtual_quadrants,interior_10_to_40cm,356,1.6363206971114634,1.3769831183435435,1.9467699170556685,3.6134351431236933,0.330068074756755,1.3486694069016576,0.2895661421065034,1.3262424982263674
positive_only,all,1000,1.8929600429611975,1.6291589196129501,2.212253661782266,4.211879092123778,0.22464361998258967,1.5708427649344072,0.33146705994204384,1.5769868182335034
positive_only,symmetry_edge_lt5cm,210,2.2675362552761564,1.9902687347233616,2.6771932498210913,4.844711616728941,0.5830675072435734,1.541322811874259,0.8748573991097943,1.9262084504357255
positive_only,symmetry_edge_lt10cm,380,2.2036908546643734,1.987445940408453,2.67019478773821,4.88628782101741,0.5014859957181367,1.6650302424407522,0.6219873349486471,1.8371873202732532
positive_only,outer_edge_gt45cm,179,1.893468168642417,1.6089409195993924,2.2864775515928133,4.2207335547823535,-0.823563857082991,1.576384969455512,-0.51528019917637,1.3674983244688113
positive_only,interior_10_to_40cm,356,1.6363206971114634,1.3769831183435435,1.9467699170556685,3.6134351431236933,0.330068074756755,1.3486694069016576,0.2895661421065034,1.3262424982263674
