rank_in_axis,readout_axis,ratio_features,ratio_scale,weighting,k,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,sigma_err_x_cm,sigma_err_z_cm
1,x,none,0.0,inverse2,32,3.687404755733376,3.223824596830106,4.367721734267861,8.491413439550968,3.70087436905392,1.951805859006366
2,x,none,0.0,inverse,32,3.695132505353344,3.2249212823074034,4.375395644610849,8.457472960639068,3.712813014585312,1.9507329677480767
3,x,fraction,0.02,inverse2,32,3.70462749178466,3.202293906367011,4.477433574786288,8.499588073615046,3.712117943968823,1.949651233046936
4,x,fraction,0.02,inverse,32,3.713691167835993,3.1926446950667104,4.489785357836525,8.48045747250145,3.72365149541182,1.949406505017844
5,x,signed,0.02,inverse2,32,3.7415950059939975,3.245571528523496,4.534069231361435,8.682877928703858,3.7643371809015855,1.946616328815288
6,x,signed,0.02,inverse,32,3.750583616926351,3.2479651816262267,4.556507447366936,8.662286611560946,3.775353501600288,1.947552704930089
7,x,fraction,0.05,inverse2,32,3.7856447545461855,3.252324829955853,4.59456051204097,8.606748480839958,3.803470910716937,1.9627986019458217
8,x,fraction,0.05,inverse,32,3.795173115193677,3.273067808001337,4.595877264804435,8.643353596328055,3.813612462339195,1.9645590810105868
1,z,none,0.0,inverse,32,3.581389633617577,3.134346283739124,4.178909281222633,7.990616855257699,1.915195245311377,3.560542274616494
2,z,none,0.0,inverse2,32,3.573985297309203,3.1425003525512034,4.179803029747198,7.975492087002951,1.913533127461436,3.5505070328640222
3,z,fraction,0.02,inverse2,32,3.588369941812356,3.1721851426346626,4.182450313556252,7.966841400552149,1.9222021383077184,3.5528000745003547
4,z,fraction,0.02,inverse,32,3.59391614556477,3.169896545601301,4.192992525689598,7.933352505206911,1.9235664961546133,3.5602871910884626
5,z,signed,0.02,inverse2,32,3.654624085690693,3.2355897508870277,4.351935504247455,8.312064455460286,1.9136974440147951,3.6183883706824833
6,z,signed,0.02,inverse,32,3.659721679401044,3.2343842257638014,4.379086811642819,8.28091493375113,1.913097314149355,3.6258479554633785
7,z,fraction,0.05,inverse2,32,3.7105477684381647,3.215862676809218,4.382559415336307,8.464858806934776,1.9304697223444205,3.68124722019725
8,z,fraction,0.05,inverse,32,3.7174593816943737,3.1845629259970654,4.396435020380943,8.476714170087284,1.9305852932439829,3.69071669526196
