reference,virtual_quadrants,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,16,euclidean,l1,inverse,10240,256,1000,2.1428678547680464,1.8311632553560666,2.4365702433203924,4.8502786520505685,0.16532885594479568,1.808402835173927,0.3294829558249699,1.775879956817324
events,True,16,euclidean,l1,uniform,10240,256,1000,2.1510698894039892,1.8413582642461068,2.44509694386376,4.840160859662499,0.16093516699999993,1.8151829060610216,0.327804725,1.7834991131622755
events,True,16,euclidean,l1,inverse2,10240,256,1000,2.135646437338418,1.8295382822807023,2.4496715007720327,4.863385645897952,0.17018034879757188,1.8024898739096844,0.33123199995783875,1.769258604944033
events,True,32,euclidean,l1,inverse2,10240,256,1000,2.1560617619687847,1.854464937769471,2.4542275904585273,4.960534794336725,0.11009786063917852,1.8365122152621818,0.3030986937429637,1.794579958891973
events,True,24,euclidean,l1,inverse,10240,256,1000,2.1563589412740036,1.8351143666886074,2.4672464962433636,4.919221530134003,0.13189302170244513,1.8281517511359764,0.3210265468011893,1.8062330410992222
events,True,24,euclidean,l1,inverse2,10240,256,1000,2.1439052547051656,1.8372907218788896,2.467896396387496,4.872755384605693,0.14067105784813572,1.8163306840953957,0.3253729688477454,1.794806344796984
events,True,32,euclidean,l1,inverse,10240,256,1000,2.1750733652217957,1.8608236248165841,2.47662444133583,4.96279783939439,0.09629760940796343,1.8555870493617297,0.2938625678395911,1.8099575388674147
events,True,24,euclidean,l1,uniform,10240,256,1000,2.170046117294634,1.8287445724392777,2.4962969653198455,5.004220770740875,0.12362266700000317,1.8413405411634818,0.31680472500000323,1.8185099718025761
events,True,12,euclidean,l1,inverse2,10240,256,1000,2.1371061556025532,1.8292385530959798,2.5090193693498795,4.847360712060866,0.17755986604821414,1.8115455720475617,0.3301869208609976,1.7724161109569254
events,True,32,euclidean,l1,uniform,10240,256,1000,2.1955786030950004,1.8918314517174712,2.5390930258957582,5.026252729483938,0.08302891699999995,1.8764347578201752,0.284679725,1.8266632178768663
events,True,12,euclidean,l1,inverse,10240,256,1000,2.1420369074659638,1.8240914700794417,2.5398339966964927,4.850738580101307,0.17319506780404295,1.8161462066992977,0.32908963435168337,1.7776716006572681
events,True,12,euclidean,l1,uniform,10240,256,1000,2.1479533031601097,1.8570653072045606,2.5558747554873236,4.866326921237458,0.16924766699999652,1.8215533673374311,0.3280130583333297,1.784044288097943
events,True,8,euclidean,l1,inverse2,10240,256,1000,2.1844155748941825,1.930080171440471,2.578127408824115,4.739160362383693,0.19996394936675643,1.8374977246545572,0.33662559681825105,1.7885565184481986
events,True,8,euclidean,l1,inverse,10240,256,1000,2.189731192675224,1.9486288375847547,2.578268044299787,4.763617398780472,0.19644256801995616,1.8419194083088388,0.33722666649340716,1.7917590358313644
events,True,8,euclidean,l1,uniform,10240,256,1000,2.196541736865828,1.936802848501302,2.579871366693575,4.772806153561687,0.19324766699999993,1.8475889563432815,0.33780472500000003,1.7961285517644434
events,True,5,euclidean,l1,uniform,10240,256,1000,2.2566722020436956,1.9556529944219667,2.6498030711168776,5.024129832774927,0.22424766700000093,1.8907356272647593,0.3587797250000012,1.8435116289506555
events,True,5,euclidean,l1,inverse,10240,256,1000,2.2515420258080776,1.944240416511001,2.664367646249768,5.022393658243423,0.22613963894696723,1.8860726913706451,0.35600337941185806,1.8404105149759502
events,True,5,euclidean,l1,inverse2,10240,256,1000,2.2481363961561582,1.9441592606424445,2.691653389727502,5.007337793563261,0.22820655012299265,1.8829781106300565,0.3532837550864934,1.8386504201070464
events,True,3,euclidean,l1,inverse2,10240,256,1000,2.3990539083933218,2.0943662282441267,2.853690299342774,5.314437742525248,0.2325812947070645,1.9740937220592158,0.32135614840210563,2.0136015597914594
events,True,3,euclidean,l1,inverse,10240,256,1000,2.4022540172052365,2.0999015902282063,2.859827409910598,5.3162995675200815,0.23162958837125489,1.9744227824674818,0.321124537514577,2.017185042348971
events,True,3,euclidean,l1,uniform,10240,256,1000,2.407399413353507,2.1145070633640355,2.862060870962105,5.324081646150246,0.23091433366666547,1.9763577153298655,0.32084639166666556,2.02220284287049
events,True,1,euclidean,l1,uniform,10240,256,1000,2.963302957090194,2.591277449066319,3.4194306641752767,6.778910211182623,0.20324766699999994,2.5236662035453445,0.234179725,2.408236111345441
events,True,1,euclidean,l1,inverse,10240,256,1000,2.963302957090194,2.591277449066319,3.4194306641752767,6.778910211182623,0.20324766699999994,2.5236662035453445,0.234179725,2.408236111345441
events,True,1,euclidean,l1,inverse2,10240,256,1000,2.963302957090194,2.591277449066319,3.4194306641752767,6.778910211182623,0.20324766699999994,2.5236662035453445,0.234179725,2.408236111345441
