reference,virtual_quadrants,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,16,euclidean,l1,inverse,100000,2500,1000,1.8899357496294686,1.6204313637576888,2.211597170291912,4.4245639044323335,0.17404680962369581,1.580596972585716,0.2857477686076276,1.5834643808208213
events,True,24,euclidean,l1,uniform,100000,2500,1000,1.8872658306932217,1.624549182109393,2.2160722606396424,4.322123697830766,0.17899766699999883,1.5810273560934442,0.3010130583333321,1.5688432112068773
events,True,16,euclidean,l1,inverse2,100000,2500,1000,1.8890709074322094,1.6128743202064602,2.2183326646151236,4.408806857184781,0.17459067984491408,1.5793962310403553,0.28605834915445433,1.5823774551533403
events,True,16,euclidean,l1,uniform,100000,2500,1000,1.891291645292791,1.6255978190155727,2.219046569671684,4.394655495564103,0.17362266699999995,1.5821652093980685,0.285742225,1.5849605316964153
events,True,24,euclidean,l1,inverse2,100000,2500,1000,1.8831974403745648,1.611119680907218,2.2243791760975933,4.248552083616791,0.17939105813715853,1.5769581973940006,0.3005809838196276,1.566399079689773
events,True,32,euclidean,l1,inverse,100000,2500,1000,1.8943271015342795,1.6766465410764242,2.235136721407052,4.2553284998297345,0.17742766848617725,1.5879119061796994,0.29350621428727536,1.5694162786609758
events,True,24,euclidean,l1,inverse,100000,2500,1000,1.8850736013714309,1.6166390237264512,2.240845234821672,4.285589643579993,0.17913616144174263,1.578850730676312,0.3006587369286968,1.5675043500013417
events,True,32,euclidean,l1,inverse2,100000,2500,1000,1.8906955704367923,1.662602052624733,2.24130739192054,4.267259820581996,0.17798329947575892,1.584758217175911,0.2942326980191691,1.5671565827017218
events,True,32,euclidean,l1,uniform,100000,2500,1000,1.898201543531033,1.688614353498701,2.2425475001530093,4.2510602319522475,0.17696641699999993,1.5913035359882877,0.293054725,1.5718264624926521
events,True,8,euclidean,l1,inverse2,100000,2500,1000,1.9397657579863286,1.6529661667529796,2.2431710106120466,4.427012731707898,0.15824114537399747,1.616343458202129,0.2782352111775511,1.63181723326687
events,True,8,euclidean,l1,inverse,100000,2500,1000,1.9395401918467257,1.6555914402627436,2.2446071861570065,4.3702924487851815,0.15609453313705707,1.6161312989631123,0.277547202349534,1.6334748690074599
events,True,8,euclidean,l1,uniform,100000,2500,1000,1.9404597746381382,1.6643932145448659,2.2555183133963657,4.3626098610550335,0.15399766699999992,1.6164905342769444,0.27717972500000004,1.6361706372883447
events,True,12,euclidean,l1,inverse2,100000,2500,1000,1.9212873066890264,1.6205147854008226,2.2806947262921113,4.370104662909445,0.1678921017529366,1.6001295537659328,0.27382500965759277,1.6184408123164762
events,True,12,euclidean,l1,inverse,100000,2500,1000,1.9228723378767447,1.6198484606630401,2.2831495024049375,4.374354772151238,0.1668112334125231,1.601538333757708,0.27269135476787437,1.620917529082589
events,True,12,euclidean,l1,uniform,100000,2500,1000,1.9252811316287786,1.6291479791349301,2.3055595854171758,4.373595076061247,0.1658310003333322,1.6033971302182721,0.27184639166666547,1.6240638263538731
events,True,5,euclidean,l1,inverse2,100000,2500,1000,1.9891577066025,1.7010468981826616,2.345849786564272,4.638919078361103,0.16693058719068057,1.679579073053363,0.2502790131860825,1.65778346124718
events,True,5,euclidean,l1,inverse,100000,2500,1000,1.9856815788264361,1.7218502515366816,2.347554498080167,4.601830853078474,0.1654597835584225,1.6798012197192456,0.24711911390424826,1.6546858112794842
events,True,5,euclidean,l1,uniform,100000,2500,1000,1.9836777872967442,1.709030269735961,2.349737003863132,4.570204798290248,0.16404766700000095,1.6807514615726007,0.244179725000001,1.6528346041116069
events,True,3,euclidean,l1,uniform,100000,2500,1000,2.1348198937140856,1.852955644542789,2.453451245244088,4.7338413392115495,0.18024766699999878,1.783432535337447,0.26117972499999875,1.7890168459087152
events,True,3,euclidean,l1,inverse,100000,2500,1000,2.135580196512394,1.8359621289436947,2.4544828768228353,4.742531649029904,0.18116569197378327,1.7810093834295733,0.26433033950427676,1.7905470690130079
events,True,3,euclidean,l1,inverse2,100000,2500,1000,2.1375794286431873,1.8357797933808278,2.4569557718964194,4.74441046577802,0.18220897002583822,1.7795527746940423,0.26755933380872443,1.793230193868021
events,True,1,euclidean,l1,uniform,100000,2500,1000,2.7084794560325927,2.335284653220148,3.177573594526093,6.217771074495848,0.18524766699999998,2.22564972997608,0.35217972499999994,2.3121964938876993
events,True,1,euclidean,l1,inverse,100000,2500,1000,2.7084794560325927,2.335284653220148,3.177573594526093,6.217771074495848,0.18524766699999998,2.22564972997608,0.35217972499999994,2.3121964938876993
events,True,1,euclidean,l1,inverse2,100000,2500,1000,2.7084794560325927,2.335284653220148,3.177573594526093,6.217771074495848,0.18524766699999998,2.22564972997608,0.35217972499999994,2.3121964938876993
