reference,virtual_quadrants,readout_axis,n_readout_channels,ratio_features,ratio_scale,n_ratio_features,n_features,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,x,32,none,0.0,0,32,32,euclidean,l1,inverse2,100000,2500,1000,3.6874047557333762,3.223824596830106,4.367721734267861,8.491413439550968,1.4576622272243467,3.70087436905392,-0.08365612001344444,1.951805859006366
events,True,x,32,none,0.0,0,32,32,euclidean,l1,inverse,100000,2500,1000,3.6951325053533437,3.2249212823074034,4.375395644610849,8.457472960639068,1.457513378257525,3.712813014585312,-0.08394216927325243,1.9507329677480771
events,True,x,32,fraction,0.02,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.70462749178466,3.202293906367011,4.4774335747862875,8.499588073615046,1.4832779367876423,3.712117943968823,-0.08826864362512486,1.9496512330469362
events,True,x,32,fraction,0.02,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.7136911678359925,3.1926446950667104,4.489785357836525,8.48045747250145,1.485149983993422,3.7236514954118203,-0.08796123855448322,1.949406505017844
events,True,x,32,signed,0.02,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.7415950059939975,3.245571528523496,4.534069231361435,8.682877928703858,1.490629502924552,3.7643371809015855,-0.11933406336677405,1.946616328815288
events,True,x,32,signed,0.02,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.7505836169263507,3.2479651816262267,4.556507447366936,8.662286611560946,1.4917543654773677,3.7753535016002875,-0.1193475696922982,1.947552704930089
events,True,x,32,fraction,0.05,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.7856447545461864,3.252324829955853,4.59456051204097,8.606748480839958,1.5079416943358164,3.8034709107169373,-0.1372490664889048,1.9627986019458217
events,True,x,32,fraction,0.05,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.7951731151936765,3.273067808001337,4.595877264804435,8.643353596328055,1.5094294428490285,3.813612462339195,-0.1375654209091708,1.9645590810105868
events,True,x,32,signed,0.05,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.041731384344719,3.5548685211163153,4.7901522579149365,9.099899639758867,1.5311873589996468,4.1460395609638345,-0.17557029649598183,1.9961005220830959
events,True,x,32,fraction,0.1,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.041731384344719,3.5548685211163185,4.790152257914941,9.099899639758874,1.531187358999647,4.146039560963835,-0.17557029649598194,1.9961005220830959
events,True,x,32,signed,0.05,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.030986244774022,3.5322661467868683,4.799185161257548,9.018446665251727,1.5327269792735876,4.1315409664836285,-0.17472954983745762,1.995821275961509
events,True,x,32,fraction,0.1,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.030986244774023,3.5322661467868515,4.799185161257559,9.018446665251737,1.5327269792735883,4.13154096648363,-0.17472954983745745,1.995821275961509
events,True,x,32,signed,0.1,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.693069711207969,4.120719784545534,5.680714888263893,10.129392039201765,1.500230553719951,4.8677613329347755,-0.23949326857625786,2.2508457619697584
events,True,x,32,fraction,0.2,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.693069711207968,4.120719784545534,5.680714888263899,10.129392039201761,1.500230553719949,4.867761332934774,-0.23949326857625772,2.2508457619697584
events,True,x,32,fraction,0.2,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.721208786582855,4.17072461040493,5.702665266781344,10.180542212513553,1.4945869905590565,4.903877994541704,-0.24394779440427186,2.253567178500514
events,True,x,32,signed,0.1,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.721208786582856,4.170724610404927,5.702665266781354,10.18054221251355,1.4945869905590574,4.903877994541704,-0.2439477944042717,2.2535671785005134
events,True,x,32,signed,0.2,16,48,32,euclidean,l1,inverse2,100000,2500,1000,6.028911326102308,5.67046191492293,7.433058256356464,12.796526614317187,1.3431974699705251,5.941638207710535,-0.610068500812458,3.459095247369635
events,True,x,32,signed,0.2,16,48,32,euclidean,l1,inverse,100000,2500,1000,6.089835687145407,5.697864774725908,7.510800755829176,12.839525172671884,1.3258547086219288,6.0008834463439715,-0.6264408445289782,3.4805680661797607
events,True,x,32,fraction,0.5,16,48,32,euclidean,l1,inverse2,100000,2500,1000,6.645371908452309,6.245552286301501,8.217964127300323,13.794236344049839,1.3756234025518383,6.271825621733736,-0.8670869333311687,4.192577941315112
events,True,x,32,fraction,0.5,16,48,32,euclidean,l1,inverse,100000,2500,1000,6.711552299517932,6.25581900010319,8.29054182966722,13.942083907133975,1.3589873735580134,6.331565061382301,-0.8922080138785149,4.220980905110107
events,True,x,32,signed,0.5,16,48,32,euclidean,l1,inverse2,100000,2500,1000,9.01225532828319,8.27246262884712,10.657222291175021,18.774955828141,1.5916956441166148,7.012830403413004,-2.2303976752953067,7.316037675200571
events,True,x,32,signed,0.5,16,48,32,euclidean,l1,inverse,100000,2500,1000,9.12315023391103,8.367378624144951,10.851375841759994,19.001135476675945,1.5789451586108463,7.068991667757268,-2.3207792271654193,7.3972688839568805
