reference,virtual_quadrants,readout_axis,n_readout_channels,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,x,32,32,euclidean,l1,inverse2,100000,2500,1000,3.6874047557333762,3.223824596830106,4.367721734267861,8.491413439550968,1.4576622272243467,3.70087436905392,-0.08365612001344444,1.951805859006366
events,True,x,32,32,euclidean,l1,inverse,100000,2500,1000,3.6951325053533437,3.2249212823074034,4.375395644610849,8.457472960639068,1.457513378257525,3.712813014585312,-0.08394216927325243,1.9507329677480771
events,True,x,32,8,euclidean,l1,inverse,100000,2500,1000,3.7531592455149467,3.3233300518142594,4.376401619813287,8.41506656858196,1.3728568099966203,3.748513022109981,-0.0792811033810279,2.0428897325146913
events,True,x,32,24,euclidean,l1,inverse2,100000,2500,1000,3.6774152693988245,3.246091032742999,4.3815986861625955,8.432487712460105,1.427253953183214,3.67191114760865,-0.07170618508077505,1.9640494077457484
events,True,x,32,16,euclidean,l1,inverse2,100000,2500,1000,3.6998696838241507,3.233289870700244,4.386031664349192,8.37995737259104,1.424100726641248,3.6915490532881314,-0.07408179277459175,1.9985386221351962
events,True,x,32,8,euclidean,l1,uniform,100000,2500,1000,3.7633270051094896,3.333854330542529,4.388952069428168,8.394283730877147,1.3741226670000002,3.7602855264232304,-0.07744527499999998,2.0410617829951834
events,True,x,32,32,euclidean,l1,uniform,100000,2500,1000,3.702358127642404,3.2152126224673467,4.392743006367484,8.474413793504397,1.4576851670000002,3.7244162716187454,-0.084382775,1.9501986843301276
events,True,x,32,8,euclidean,l1,inverse2,100000,2500,1000,3.7448555097536094,3.2794849412507423,4.399029191263792,8.47905695327369,1.371327641618077,3.7385952446422253,-0.08106902670363234,2.0459490579155304
events,True,x,32,24,euclidean,l1,inverse,100000,2500,1000,3.6843970464657696,3.2526475031557265,4.403348006380324,8.497973917273423,1.4262760314089544,3.6806147783633625,-0.07075300031001633,1.9628926406159442
events,True,x,32,24,euclidean,l1,uniform,100000,2500,1000,3.6911136822075274,3.2493569198145877,4.415564669737324,8.449819680215917,1.4254560003333308,3.689212258224547,-0.06994527500000204,1.9623949274277932
events,True,x,32,12,euclidean,l1,inverse,100000,2500,1000,3.723348906912762,3.255990807570771,4.421680326612068,8.608799357616023,1.392382799668303,3.7220994169378705,-0.05836926697363964,2.003423667701267
events,True,x,32,12,euclidean,l1,uniform,100000,2500,1000,3.731892415851835,3.2844101835508415,4.424868304555077,8.610810331852699,1.3928310003333315,3.7331751604463124,-0.055403608333334985,2.002224057115224
events,True,x,32,16,euclidean,l1,uniform,100000,2500,1000,3.7161095993740774,3.243306630508492,4.428996804861015,8.370699316077909,1.428122667,3.7122541453329063,-0.07163277500000001,1.997697067698551
events,True,x,32,16,euclidean,l1,inverse,100000,2500,1000,3.707921635458113,3.2325105185097507,4.4511404297938535,8.352603179681179,1.4260875560228188,3.701771865274231,-0.07281383476487627,1.9977127446543608
events,True,x,32,12,euclidean,l1,inverse2,100000,2500,1000,3.7153838883385197,3.221913074299356,4.451746771377397,8.571908044671545,1.3918141599273954,3.711803470659497,-0.061363561227092626,2.005587808425836
events,True,x,32,5,euclidean,l1,inverse2,100000,2500,1000,3.823892189467618,3.340545395946238,4.4897853243564825,8.774011696551417,1.3919499922249239,3.771901667885789,-0.11625825562051918,2.1760013381244914
events,True,x,32,5,euclidean,l1,inverse,100000,2500,1000,3.8280211265627933,3.3241697937027963,4.524808382173283,8.82069706824029,1.399769663041913,3.775312286175692,-0.11652706803558843,2.1740997534574453
events,True,x,32,5,euclidean,l1,uniform,100000,2500,1000,3.834938794922881,3.3176822473177077,4.54049491559691,8.830350666649053,1.4074476670000013,3.7817599832324147,-0.1168202749999988,2.173602717919162
events,True,x,32,3,euclidean,l1,inverse2,100000,2500,1000,3.9470543291383073,3.4761977238699813,4.725377712971794,9.025548982947027,1.2994501624501409,3.9279338083967863,-0.09827091684120243,2.296155406556973
events,True,x,32,3,euclidean,l1,inverse,100000,2500,1000,3.948827793770128,3.4708946961119844,4.732013661125724,8.998791786187871,1.3064946397964572,3.9282262256134635,-0.09603037931270886,2.2923530908407357
events,True,x,32,3,euclidean,l1,uniform,100000,2500,1000,3.954378911764702,3.425796056908365,4.750836426156439,9.017037946111088,1.3135810003333317,3.932519052019667,-0.09382027500000158,2.2901581200557537
events,True,x,32,1,euclidean,l1,uniform,100000,2500,1000,4.809071851340743,4.1529475275637875,5.713192415299188,10.312202780360028,1.0912476670000002,4.8178161683329,-0.17782027499999994,2.9378464043778636
events,True,x,32,1,euclidean,l1,inverse,100000,2500,1000,4.809071851340743,4.1529475275637875,5.713192415299188,10.312202780360028,1.0912476670000002,4.8178161683329,-0.17782027499999994,2.9378464043778636
events,True,x,32,1,euclidean,l1,inverse2,100000,2500,1000,4.809071851340743,4.1529475275637875,5.713192415299188,10.312202780360028,1.0912476670000002,4.8178161683329,-0.17782027499999994,2.9378464043778636
