reference,virtual_quadrants,readout_axis,n_readout_channels,ratio_features,ratio_scale,n_ratio_features,n_features,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,z,32,none,0.0,0,32,32,euclidean,l1,inverse,100000,2500,1000,3.581389633617577,3.1343462837391236,4.178909281222633,7.990616855257699,-0.18144815986475912,1.915195245311377,1.4350581719465303,3.560542274616494
events,True,z,32,none,0.0,0,32,32,euclidean,l1,inverse2,100000,2500,1000,3.573985297309203,3.1425003525512034,4.179803029747198,7.975492087002951,-0.1811994767213461,1.913533127461436,1.4353513971463008,3.5505070328640222
events,True,z,32,fraction,0.02,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.588369941812356,3.1721851426346626,4.182450313556252,7.966841400552149,-0.19022415698185238,1.9222021383077184,1.439146757345023,3.5528000745003547
events,True,z,32,fraction,0.02,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.59391614556477,3.1698965456013015,4.192992525689598,7.933352505206911,-0.19087250970483957,1.9235664961546133,1.4377834077713019,3.5602871910884626
events,True,z,32,signed,0.02,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.6546240856906924,3.2355897508870273,4.351935504247455,8.312064455460286,-0.1927439343187661,1.9136974440147951,1.5086420468466144,3.6183883706824833
events,True,z,32,signed,0.02,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.6597216794010436,3.2343842257638014,4.379086811642819,8.28091493375113,-0.19357158491627366,1.913097314149355,1.5100371868859779,3.6258479554633785
events,True,z,32,fraction,0.05,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.7105477684381647,3.215862676809218,4.382559415336307,8.464858806934776,-0.1961277113557701,1.9304697223444203,1.5152144981831115,3.68124722019725
events,True,z,32,fraction,0.05,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.7174593816943737,3.1845629259970654,4.396435020380943,8.476714170087284,-0.19700328339649495,1.9305852932439829,1.5151031359358271,3.69071669526196
events,True,z,32,fraction,0.1,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.9464497456296166,3.3626491957294466,4.675426694308245,8.820246108798376,-0.22884502274993956,1.9956449627604906,1.556383651163242,3.9783331051106456
events,True,z,32,signed,0.05,16,48,32,euclidean,l1,inverse2,100000,2500,1000,3.9464497456296157,3.3626491957294435,4.675426694308246,8.820246108798363,-0.2288450227499395,1.9956449627604906,1.556383651163241,3.9783331051106448
events,True,z,32,signed,0.05,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.9559794177665473,3.3651468658181645,4.697718935645632,8.845216675101327,-0.23018822157467053,1.9984238309107858,1.5531682057847098,3.992223143744197
events,True,z,32,fraction,0.1,16,48,32,euclidean,l1,inverse,100000,2500,1000,3.9559794177665473,3.365146865818165,4.697718935645642,8.845216675101334,-0.23018822157467064,1.9984238309107858,1.5531682057847107,3.992223143744197
events,True,z,32,signed,0.1,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.583267138907034,3.973392823469078,5.5475145253879745,9.738847862374461,-0.34367625487168124,2.2866110237470787,1.5278815145242488,4.671464636403032
events,True,z,32,fraction,0.2,16,48,32,euclidean,l1,inverse2,100000,2500,1000,4.583267138907033,3.9733928234690934,5.547514525387985,9.738847862374442,-0.3436762548716812,2.2866110237470787,1.5278815145242466,4.67146463640303
events,True,z,32,signed,0.1,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.602961810910112,4.040024959132721,5.5501433777090625,9.71300450922492,-0.347131824564451,2.293337231823592,1.518758656995235,4.696308745756576
events,True,z,32,fraction,0.2,16,48,32,euclidean,l1,inverse,100000,2500,1000,4.602961810910111,4.040024959132719,5.550143377709066,9.71300450922492,-0.34713182456445096,2.293337231823592,1.5187586569952338,4.696308745756576
events,True,z,32,signed,0.2,16,48,32,euclidean,l1,inverse2,100000,2500,1000,6.092068695952078,5.595555675946969,7.4893543370689555,12.838918629517652,-0.646467005356022,3.5979371268884,1.5045773234601592,5.918660970975439
events,True,z,32,signed,0.2,16,48,32,euclidean,l1,inverse,100000,2500,1000,6.139318596317005,5.7026252387230905,7.5120243726202105,12.920037045409641,-0.6611808105008975,3.6203553246569258,1.4902420533832585,5.967584141436539
events,True,z,32,fraction,0.5,16,48,32,euclidean,l1,inverse2,100000,2500,1000,6.743603695029278,6.1627657247190655,8.328647266711766,13.944878682519724,-0.8931628113908162,4.380803643646487,1.5313000722072334,6.27244751641966
events,True,z,32,fraction,0.5,16,48,32,euclidean,l1,inverse,100000,2500,1000,6.798308258478597,6.241220771926667,8.358807432700445,13.917676503620681,-0.9208378565955851,4.413300888388738,1.5164692891460667,6.32267658210851
events,True,z,32,signed,0.5,16,48,32,euclidean,l1,inverse2,100000,2500,1000,9.231183675914963,8.39419691362259,10.869258634705698,19.253833803422054,-2.050175912302937,7.718427116668465,1.8243361090492376,7.158054847821369
events,True,z,32,signed,0.5,16,48,32,euclidean,l1,inverse,100000,2500,1000,9.331304903265321,8.514099677232753,11.0538587506509,19.338891579031788,-2.128712505750348,7.79025468594555,1.8167600540814264,7.206300970455076
