reference,virtual_quadrants,readout_axis,n_readout_channels,k,metric,normalization,weighting,n_reference,n_base_positions,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
events,True,z,32,32,euclidean,l1,inverse,100000,2500,1000,3.581389633617577,3.1343462837391236,4.178909281222633,7.990616855257699,-0.18144815986475912,1.915195245311377,1.4350581719465303,3.560542274616494
events,True,z,32,24,euclidean,l1,inverse,100000,2500,1000,3.570670976609066,3.1592095453283813,4.179634376334059,8.147362468126802,-0.17160638544898707,1.915465611155507,1.4154806876870092,3.557581302452584
events,True,z,32,32,euclidean,l1,inverse2,100000,2500,1000,3.573985297309203,3.1425003525512034,4.179803029747198,7.975492087002951,-0.1811994767213461,1.913533127461436,1.4353513971463008,3.5505070328640222
events,True,z,32,16,euclidean,l1,inverse,100000,2500,1000,3.572964379401326,3.1190697978633137,4.182641889475227,8.070319288372131,-0.1723172710603664,1.9316914785514208,1.3862933137358409,3.5621201290520768
events,True,z,32,16,euclidean,l1,inverse2,100000,2500,1000,3.5697748732351453,3.124764248656638,4.189442261211884,8.087599504400144,-0.17291832644278343,1.9314491321437506,1.3871787764970576,3.5551022967251327
events,True,z,32,32,euclidean,l1,uniform,100000,2500,1000,3.588961291691192,3.1460689395238886,4.189534808119488,8.019857111769081,-0.18172108300000006,1.917106244933015,1.4347422250000001,3.570543687058673
events,True,z,32,24,euclidean,l1,uniform,100000,2500,1000,3.5770060805272825,3.187762364268036,4.1931205519136565,8.122872386304865,-0.17104399966666875,1.9170054818306121,1.4154713916666646,3.566734192076105
events,True,z,32,24,euclidean,l1,inverse2,100000,2500,1000,3.5646943078066142,3.1301379424380533,4.197879256901386,8.131688795593773,-0.17215870296031632,1.9143123208408528,1.4154404611660978,3.548690075618348
events,True,z,32,16,euclidean,l1,uniform,100000,2500,1000,3.5769401304599397,3.131886208037832,4.205892695082057,8.070539089255877,-0.17168983300000001,1.9324340821687442,1.3852422250000003,3.5697028384871827
events,True,z,32,8,euclidean,l1,inverse2,100000,2500,1000,3.6166833542977543,3.1504372016067848,4.235674638803391,8.382966601804378,-0.18998214799633023,1.9870896725604645,1.3751868099765747,3.59103949774974
events,True,z,32,8,euclidean,l1,uniform,100000,2500,1000,3.6242074152722727,3.1442393963381066,4.251422209168186,8.367499641155698,-0.19025233300000008,1.986475110428874,1.3734297250000003,3.607731221796664
events,True,z,32,12,euclidean,l1,inverse,100000,2500,1000,3.619151326149151,3.197968944312322,4.26579839494886,8.110594497676447,-0.1686383376245023,1.9577497956489398,1.4031118907839668,3.594673455585992
events,True,z,32,8,euclidean,l1,inverse,100000,2500,1000,3.6197716972300733,3.1419964637766142,4.274471870422906,8.454321809095962,-0.1901145196509675,1.9863151780807624,1.374376216553351,3.598498233684967
events,True,z,32,12,euclidean,l1,inverse2,100000,2500,1000,3.6142677098953055,3.19498507028995,4.278935555859529,8.053088921284388,-0.1696239681338316,1.9577579450312856,1.402736271329009,3.5853176551927013
events,True,z,32,12,euclidean,l1,uniform,100000,2500,1000,3.6253012114319962,3.175841294542016,4.280901662959399,8.144389208023798,-0.16758566633333516,1.9584217001201927,1.4033463916666649,3.605055300126164
events,True,z,32,5,euclidean,l1,uniform,100000,2500,1000,3.7407844150775063,3.234414817236517,4.4102718624523565,8.633713666715465,-0.1933523329999989,2.0577176377606343,1.3839797250000012,3.724219308078525
events,True,z,32,5,euclidean,l1,inverse2,100000,2500,1000,3.7340405553685976,3.2558576633149348,4.413502186625558,8.695716604114509,-0.19434120520016557,2.058864348071146,1.3817099846388892,3.710291622249984
events,True,z,32,5,euclidean,l1,inverse,100000,2500,1000,3.736018953769109,3.2456764040072548,4.427928469703609,8.679974851280798,-0.1938088409771577,2.0576945900191372,1.3828585547804777,3.715866993136513
events,True,z,32,3,euclidean,l1,inverse,100000,2500,1000,3.937577243162494,3.5240564976184148,4.583914348496252,9.106447263705777,-0.21305532674897595,2.243690652028459,1.3255921843057088,3.8850724902114298
events,True,z,32,3,euclidean,l1,inverse2,100000,2500,1000,3.9353936679021735,3.5261679921395457,4.603627042360273,8.982538295292432,-0.2143878179677228,2.2430118268896577,1.327452354424995,3.878551242059738
events,True,z,32,3,euclidean,l1,uniform,100000,2500,1000,3.942719471293681,3.5326220963713935,4.620190879354188,9.059188861905428,-0.21175233300000162,2.245479001913568,1.3235130583333317,3.8953490049090367
events,True,z,32,1,euclidean,l1,uniform,100000,2500,1000,4.788513160699693,4.345431535923597,5.745127086545529,10.8642596198557,-0.31475233300000005,2.7201208315367564,1.444179725,4.750530820170901
events,True,z,32,1,euclidean,l1,inverse,100000,2500,1000,4.788513160699693,4.345431535923597,5.745127086545529,10.8642596198557,-0.31475233300000005,2.7201208315367564,1.444179725,4.750530820170901
events,True,z,32,1,euclidean,l1,inverse2,100000,2500,1000,4.788513160699693,4.345431535923597,5.745127086545529,10.8642596198557,-0.31475233300000005,2.7201208315367564,1.444179725,4.750530820170901
