position_id,x_cm,z_cm,target_x_cm,target_z_cm
51,1.5,1.5,1.5625,1.5625
54,4.5,1.5,4.6875,1.5625
57,7.5,1.5,7.8125,1.5625
60,10.5,1.5,10.9375,1.5625
64,14.5,1.5,14.0625,1.5625
67,17.5,1.5,17.1875,1.5625
70,20.5,1.5,20.3125,1.5625
73,23.5,1.5,23.4375,1.5625
76,26.5,1.5,26.5625,1.5625
79,29.5,1.5,29.6875,1.5625
82,32.5,1.5,32.8125,1.5625
85,35.5,1.5,35.9375,1.5625
89,39.5,1.5,39.0625,1.5625
92,42.5,1.5,42.1875,1.5625
95,45.5,1.5,45.3125,1.5625
98,48.5,1.5,48.4375,1.5625
201,1.5,4.5,1.5625,4.6875
204,4.5,4.5,4.6875,4.6875
207,7.5,4.5,7.8125,4.6875
210,10.5,4.5,10.9375,4.6875
214,14.5,4.5,14.0625,4.6875
217,17.5,4.5,17.1875,4.6875
220,20.5,4.5,20.3125,4.6875
223,23.5,4.5,23.4375,4.6875
226,26.5,4.5,26.5625,4.6875
229,29.5,4.5,29.6875,4.6875
232,32.5,4.5,32.8125,4.6875
235,35.5,4.5,35.9375,4.6875
239,39.5,4.5,39.0625,4.6875
242,42.5,4.5,42.1875,4.6875
245,45.5,4.5,45.3125,4.6875
248,48.5,4.5,48.4375,4.6875
351,1.5,7.5,1.5625,7.8125
354,4.5,7.5,4.6875,7.8125
357,7.5,7.5,7.8125,7.8125
360,10.5,7.5,10.9375,7.8125
364,14.5,7.5,14.0625,7.8125
367,17.5,7.5,17.1875,7.8125
370,20.5,7.5,20.3125,7.8125
373,23.5,7.5,23.4375,7.8125
376,26.5,7.5,26.5625,7.8125
379,29.5,7.5,29.6875,7.8125
382,32.5,7.5,32.8125,7.8125
385,35.5,7.5,35.9375,7.8125
389,39.5,7.5,39.0625,7.8125
392,42.5,7.5,42.1875,7.8125
395,45.5,7.5,45.3125,7.8125
398,48.5,7.5,48.4375,7.8125
501,1.5,10.5,1.5625,10.9375
504,4.5,10.5,4.6875,10.9375
507,7.5,10.5,7.8125,10.9375
510,10.5,10.5,10.9375,10.9375
514,14.5,10.5,14.0625,10.9375
517,17.5,10.5,17.1875,10.9375
520,20.5,10.5,20.3125,10.9375
523,23.5,10.5,23.4375,10.9375
526,26.5,10.5,26.5625,10.9375
529,29.5,10.5,29.6875,10.9375
532,32.5,10.5,32.8125,10.9375
535,35.5,10.5,35.9375,10.9375
539,39.5,10.5,39.0625,10.9375
542,42.5,10.5,42.1875,10.9375
545,45.5,10.5,45.3125,10.9375
548,48.5,10.5,48.4375,10.9375
701,1.5,14.5,1.5625,14.0625
704,4.5,14.5,4.6875,14.0625
707,7.5,14.5,7.8125,14.0625
710,10.5,14.5,10.9375,14.0625
714,14.5,14.5,14.0625,14.0625
717,17.5,14.5,17.1875,14.0625
720,20.5,14.5,20.3125,14.0625
723,23.5,14.5,23.4375,14.0625
726,26.5,14.5,26.5625,14.0625
729,29.5,14.5,29.6875,14.0625
732,32.5,14.5,32.8125,14.0625
735,35.5,14.5,35.9375,14.0625
739,39.5,14.5,39.0625,14.0625
742,42.5,14.5,42.1875,14.0625
745,45.5,14.5,45.3125,14.0625
748,48.5,14.5,48.4375,14.0625
851,1.5,17.5,1.5625,17.1875
854,4.5,17.5,4.6875,17.1875
857,7.5,17.5,7.8125,17.1875
860,10.5,17.5,10.9375,17.1875
864,14.5,17.5,14.0625,17.1875
867,17.5,17.5,17.1875,17.1875
870,20.5,17.5,20.3125,17.1875
873,23.5,17.5,23.4375,17.1875
876,26.5,17.5,26.5625,17.1875
879,29.5,17.5,29.6875,17.1875
882,32.5,17.5,32.8125,17.1875
885,35.5,17.5,35.9375,17.1875
889,39.5,17.5,39.0625,17.1875
892,42.5,17.5,42.1875,17.1875
895,45.5,17.5,45.3125,17.1875
898,48.5,17.5,48.4375,17.1875
1001,1.5,20.5,1.5625,20.3125
1004,4.5,20.5,4.6875,20.3125
1007,7.5,20.5,7.8125,20.3125
1010,10.5,20.5,10.9375,20.3125
1014,14.5,20.5,14.0625,20.3125
1017,17.5,20.5,17.1875,20.3125
1020,20.5,20.5,20.3125,20.3125
1023,23.5,20.5,23.4375,20.3125
1026,26.5,20.5,26.5625,20.3125
1029,29.5,20.5,29.6875,20.3125
1032,32.5,20.5,32.8125,20.3125
1035,35.5,20.5,35.9375,20.3125
1039,39.5,20.5,39.0625,20.3125
1042,42.5,20.5,42.1875,20.3125
1045,45.5,20.5,45.3125,20.3125
1048,48.5,20.5,48.4375,20.3125
1151,1.5,23.5,1.5625,23.4375
1154,4.5,23.5,4.6875,23.4375
1157,7.5,23.5,7.8125,23.4375
