method,subset,n_events,mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm
virtual_quadrants,all,1000,1.750379927467916,1.2272922929277927,1.7391702756961975,5.052928557201729,0.12103483120612929,1.8140616635571705,0.1393733400796416,1.81022973688433
virtual_quadrants,symmetry_edge_lt5cm,210,1.10846283743442,0.9418274631327336,1.2888032496921835,2.260005663721709,0.1824150656372442,0.9016906691089585,-0.07638486193777054,0.9231054329318606
virtual_quadrants,symmetry_edge_lt10cm,380,1.263171653602382,1.07835709452031,1.5116429662639654,2.8033371969350735,0.18103399342074303,1.0445537869925665,0.009556216370997926,1.061023124593513
virtual_quadrants,outer_edge_gt45cm,179,2.3004183213558256,1.9236065746078732,2.6076772928244702,5.690434810049456,-0.9743760274625165,1.8305440766570527,-0.9133684449763133,1.677413194544156
virtual_quadrants,interior_10_to_40cm,356,1.8855581781987643,1.0516451863774912,1.5085831182680147,8.20023686691464,0.5296306229493006,2.2521207424105754,0.5758088227482019,2.232655249638069
positive_only,all,1000,1.7628568464021566,1.255099003760059,1.7484096845045112,5.052928557201729,0.14143570582623385,1.8166599539308075,0.15880236834378283,1.8117995024443667
positive_only,symmetry_edge_lt5cm,210,1.1678767371212808,1.0572720247023253,1.3885492091495375,2.364305114132701,0.27956208763774204,0.9157859411499623,0.016134320272425756,0.9553119322942528
positive_only,symmetry_edge_lt10cm,380,1.2960056507977524,1.1226489346658362,1.5449400226190015,2.8033371969350735,0.2347205055789129,1.0524769241393312,0.06068523811873801,1.0735184292046642
positive_only,outer_edge_gt45cm,179,2.300868560953372,1.9236065746078732,2.6076772928244702,5.690434810049456,-0.9645586023393602,1.8360881440736816,-0.8894453543176535,1.6868264588188564
positive_only,interior_10_to_40cm,356,1.8855581781987643,1.0516451863774912,1.5085831182680147,8.20023686691464,0.5296306229493006,2.2521207424105754,0.5758088227482019,2.232655249638069
