reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,16,euclidean,l1,inverse,1000,0.0671573300995021,2.0275688392282563,0.06142802023094713,2.225554900295112,2.257589509805879,2.952027642906579,5.500840191370585
events,16,euclidean,l1,inverse2,1000,0.06805697736239016,2.0162660764194684,0.06466925636721364,2.2191206037840687,2.2464258424138803,2.9769740930538084,5.466704388331405
events,24,euclidean,l1,inverse2,1000,0.053831522323417744,2.0376042656963995,0.06686838678262,2.1937493797062833,2.217676722291334,2.9834818269513406,5.556519520247648
events,12,euclidean,l1,inverse2,1000,0.07397066686657124,2.0123437008399385,0.08115788668363248,2.2299091503897484,2.2586170103719443,2.9881994471200017,5.5699826215925174
events,16,euclidean,l1,uniform,1000,0.06591860237500007,2.041244706757138,0.05900387893749996,2.235019001891127,2.2644049279161393,2.9956150795821186,5.502493536810631
events,32,euclidean,l1,inverse2,1000,0.042552985348308654,2.0569443770132594,0.0593195722716671,2.206631069862815,2.20911959818585,3.001646552183092,5.691384715185531
events,12,euclidean,l1,inverse,1000,0.0754166775275222,2.017781107072856,0.07929806496508206,2.233317974761438,2.276878833051927,3.005509642873422,5.522103686854474
events,12,euclidean,l1,uniform,1000,0.0765209122499999,2.025608672053561,0.07818704599999994,2.240125495158316,2.2625684857340365,3.0200425226144,5.53231082829284
events,8,euclidean,l1,inverse,1000,0.07307281606588296,2.066295612923824,0.08603090020181142,2.2700872422577905,2.298457043577361,3.0263762510704253,5.559994147212509
events,8,euclidean,l1,uniform,1000,0.07507701899999988,2.077446394869585,0.08313754175000018,2.274147150336457,2.305959811310798,3.0269979310136543,5.762949982884085
events,24,euclidean,l1,inverse,1000,0.050108571877172534,2.057955469346885,0.06361876592865465,2.2012004267674925,2.228407250093486,3.028673796736543,5.604895068503383
events,32,euclidean,l1,inverse,1000,0.03682901626421402,2.0840322203412045,0.05565322722719695,2.2228573929868536,2.253759716212513,3.0339258586838533,5.759702634369511
events,8,euclidean,l1,inverse2,1000,0.07102334979577947,2.0585154159921104,0.08923043095116594,2.269953898076636,2.3050985563939586,3.0361973195909426,5.554268091033802
events,32,euclidean,l1,uniform,1000,0.031079493874999968,2.1126467131647977,0.05275387915624997,2.2415134589111263,2.2894912933756517,3.043386207533613,5.86755532076826
events,48,euclidean,l1,inverse2,1000,0.028616935834147695,2.095215211707323,0.03789660262819649,2.2499208533295505,2.2610190780958597,3.0442255621516283,5.762822141122323
events,24,euclidean,sqrt,inverse2,1000,-0.0006825816004518117,2.065180077791029,0.0959480630361554,2.231489160021439,2.3305554614528736,3.0564702835785718,5.603088532344843
events,24,euclidean,l1,uniform,1000,0.046157876458333504,2.0805506893416728,0.06119034812499995,2.2107845501706986,2.2463007209534753,3.0569786312599536,5.612304375189686
events,16,euclidean,sqrt,uniform,1000,0.025448307312499915,2.0883719686750006,0.09006823481249995,2.2337627738339756,2.3566200322898756,3.073275949439781,5.59306569875571
events,16,euclidean,sqrt,inverse,1000,0.0256888517843164,2.0805146143427633,0.09165495693942745,2.228878174918189,2.3584280184580066,3.076383042522397,5.605581231338243
events,32,euclidean,sqrt,inverse2,1000,-0.0031063580406821886,2.0882829007843946,0.08522017059891293,2.2464816019875133,2.345783055855468,3.0783918340496124,5.714377238327499
events,48,euclidean,l1,inverse,1000,0.020922544431302995,2.1352523251833735,0.03172720297056321,2.2843126958715305,2.31408016192702,3.0822207391961634,5.902284528668933
events,24,euclidean,sqrt,inverse,1000,-0.0023932883877438443,2.0731592704117734,0.0952442773543472,2.238511155793127,2.3545009424450205,3.0833629717042044,5.630805846945005
events,64,euclidean,l1,inverse2,1000,0.02605238228088976,2.1328772167679846,0.030990338858798636,2.300911882482037,2.257661939664717,3.085492203619045,5.8139026544768955
events,16,euclidean,sqrt,inverse2,1000,0.026108843867625815,2.0730943891166245,0.09312641294116664,2.224794265559132,2.3514785876989803,3.0862296313095112,5.601934542215195
events,24,euclidean,sqrt,uniform,1000,-0.003965884416666611,2.0813074558592426,0.09448242620833333,2.246017310952237,2.3608358948424657,3.089912837893686,5.65271173523712
events,32,euclidean,sqrt,inverse,1000,-0.004412715632720087,2.0986153422109872,0.08413088746032557,2.255710656036775,2.355879729059015,3.0914173795319195,5.750579694261979
events,48,euclidean,sqrt,inverse2,1000,-0.031962256087957185,2.1361932824632692,0.06822725361998207,2.2811759572283674,2.347862231729594,3.092085644664807,5.842193877950871
events,5,euclidean,l1,uniform,1000,0.10223048520000005,2.1108668847815513,0.07036526620000014,2.3630840773217754,2.338366869904556,3.1048163674335756,5.9721302703377726
events,32,euclidean,sqrt,uniform,1000,-0.005523227718749908,2.1088865449192866,0.08304471981249993,2.2651502748809036,2.369106303492024,3.107621233856985,5.762145639840184
events,5,euclidean,l1,inverse,1000,0.09817196900818097,2.104248405189403,0.07063507131081201,2.360834638676304,2.3347168755790024,3.1097309747077495,5.98270826376765
events,5,euclidean,l1,inverse2,1000,0.09443786676100098,2.10174508399391,0.0711063261245369,2.3624400367693426,2.352140213047439,3.1188693563480463,5.908359086697396
events,48,euclidean,sqrt,inverse,1000,-0.03485499250547126,2.1504094767794144,0.06594615768792056,2.2938861309741605,2.35653162415777,3.120600809213272,5.8970596484732924
events,8,euclidean,none,inverse2,1000,0.023160274850188897,2.1972156512085,0.04723370998758878,2.2800024114667927,2.3882703107176697,3.1334633337997264,5.814381872222936
events,8,euclidean,none,inverse,1000,0.01580420563018015,2.2072593849636584,0.0454010605451772,2.2886748826978716,2.3970243757195084,3.1354361790511005,5.755375143149631
events,64,euclidean,l1,inverse,1000,0.016943041529128594,2.1908023593345236,0.024019046523651354,2.3556004005585294,2.309978537953693,3.136506487693958,6.056503095669471
events,64,euclidean,sqrt,inverse2,1000,-0.025599717977626266,2.1929831888172826,0.06511937449398723,2.32582755852445,2.390701658312961,3.1575979341196225,6.021728349909006
events,48,euclidean,l1,uniform,1000,0.013835269625000052,2.1764682944289238,0.02647500150000002,2.321874883438356,2.3510110416593553,3.1578421455601613,5.9551064044148925
events,48,euclidean,sqrt,uniform,1000,-0.03756736968749992,2.16419473251514,0.06370684872916672,2.3064049079940463,2.370597959107018,3.160277116320456,5.936151231710572
events,12,euclidean,sqrt,inverse2,1000,0.016965343055945013,2.0919242834252314,0.12079179095803204,2.266549432662195,2.3701558797414126,3.1866794902477205,5.629943454888041
events,12,euclidean,none,inverse2,1000,0.008827210188274804,2.19172678903084,0.060975402647566186,2.2703983839976782,2.361000088549977,3.1906715992854906,5.901196209451856
events,8,euclidean,none,uniform,1000,0.008616622375000162,2.220457476818474,0.0441523939999999,2.301786560151905,2.4313556736502857,3.19454677286941,5.802359186157952
events,64,euclidean,sqrt,inverse,1000,-0.027569300595057928,2.2115887571431947,0.06312376896479253,2.342511130511832,2.429925342415462,3.201159944316716,6.023467450205623
events,16,euclidean,none,inverse2,1000,0.0040205921302427896,2.1977648574262325,0.06560834947872562,2.267010436612046,2.360674859436073,3.2023209265079173,5.884877959513247
events,5,euclidean,none,inverse2,1000,0.05170821589509244,2.2647105816490565,0.03652051190508978,2.3004294023736147,2.4287407215528996,3.2059208262694083,6.018559842266769
events,8,euclidean,sqrt,uniform,1000,0.008492862249999995,2.18083644858083,0.12150388000000002,2.3247525825353637,2.460721626287277,3.21176175115522,5.798973428500455
events,64,euclidean,sqrt,uniform,1000,-0.029301074171875056,2.229471419881441,0.061231601218749966,2.3586752212712696,2.431858739007064,3.2124173040021957,6.030239464234129
events,16,euclidean,none,inverse,1000,-0.004655171749010691,2.216771362224454,0.06736178348693381,2.2847937919627475,2.4034973223248075,3.2129375431904594,5.852733443117359
events,8,euclidean,sqrt,inverse2,1000,0.012663383564460859,2.167358586549026,0.12142291056285891,2.3165821198851204,2.455069491169278,3.2200906076554845,5.783913377027508
events,12,euclidean,sqrt,inverse,1000,0.015226243916675195,2.098551990682516,0.12079501746244356,2.2710742442281617,2.3665250485126,3.220915163208057,5.658970506498746
events,5,euclidean,none,inverse,1000,0.04745948685445434,2.2752909346887162,0.0339723224480664,2.3033303832967364,2.408661477685537,3.221784826968,6.0549949416969655
events,24,euclidean,none,inverse2,1000,0.009795695597665301,2.211301730230978,0.05834250670594173,2.3004074105910344,2.3853420568814556,3.22729540386804,5.934728457644398
events,12,euclidean,none,inverse,1000,0.0004522549439505639,2.2049403639637823,0.06172199672473135,2.2842280701629765,2.3718736320687643,3.228810429183684,5.920515413762066
events,64,euclidean,l1,uniform,1000,0.008539271203125025,2.250690350052912,0.018054003312500042,2.4136332764392883,2.3952558189872724,3.232326836012314,6.282689126467827
events,8,euclidean,sqrt,inverse,1000,0.010613350875476378,2.1736340056508734,0.12159917496063205,2.319943847028954,2.461222885595278,3.232594446747928,5.77114553589459
