reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,12,euclidean,l1,inverse2,1000,0.05204244920880458,2.0948144315907307,0.0898772397704469,2.2081495635226362,2.245941459681677,2.989291178993076,5.5951548613301565
events,12,euclidean,l1,uniform,1000,0.049545713666666685,2.1113466621389145,0.08706793449999997,2.228600748715317,2.2913011008786475,2.9964583166957413,5.670377110108373
events,12,euclidean,l1,inverse,1000,0.05067941096102646,2.102432620954128,0.08859866525610542,2.217850787487382,2.2720966354909353,3.001105974683921,5.6405680080146485
events,16,euclidean,l1,inverse2,1000,0.05104120153712649,2.0975361141540225,0.08259308735062532,2.2251832050743836,2.278570047986757,3.0094125849706446,5.649345145854686
events,32,euclidean,l1,inverse2,1000,0.04970538596380392,2.119140417600836,0.07664891882946047,2.2422672888861417,2.270454416478083,3.030003998465417,5.79175441689846
events,24,euclidean,l1,inverse2,1000,0.0372549733162092,2.0931662600130574,0.08151283506147249,2.2238972187367376,2.271594449065651,3.0367668507046988,5.690348268804586
events,16,euclidean,l1,inverse,1000,0.049279652714394946,2.1110376744293817,0.07968554052520059,2.2391152169863684,2.2834007505817153,3.0371857289107766,5.737544910982688
events,16,euclidean,l1,uniform,1000,0.04758864306250003,2.1257215998801082,0.07646187418749997,2.2536602699072796,2.2983054958041205,3.0533055602293397,5.814551308950533
events,8,euclidean,l1,inverse,1000,0.050471982779240934,2.1402969095352207,0.11266672779321217,2.2381752624404645,2.343268328344589,3.0570287367769193,5.612589476365407
events,8,euclidean,l1,inverse2,1000,0.05383544228227484,2.1328842867817652,0.11105288250543006,2.2276522623988066,2.3347786738189957,3.057819309768083,5.609886972839022
events,24,euclidean,l1,inverse,1000,0.03509210013343344,2.112019955567932,0.07940494912926586,2.239711244735594,2.262475076357867,3.06324559049377,5.728555428565609
