reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,12,euclidean,sqrt,inverse2,1000,-0.22145832512345665,4.525515559115337,-0.06107697811620278,4.455313025510909,3.221163207400447,4.708841987941403,14.124245057643394
events,16,euclidean,sqrt,uniform,1000,-0.2067674135,4.472775472084686,-0.06596197387499991,4.435352929751571,3.194397661022397,4.719625251515425,14.449583862205316
events,16,euclidean,sqrt,inverse2,1000,-0.2022503807553943,4.463149117577992,-0.05595093874915973,4.418140461904363,3.1712766204727343,4.724489400610804,14.265319670614858
events,16,euclidean,sqrt,inverse,1000,-0.20470281281923788,4.467700250610034,-0.06121918756126286,4.426532143685152,3.170113107749353,4.731550561303368,14.345481484642233
events,12,euclidean,sqrt,inverse,1000,-0.2255374960712513,4.532958967706091,-0.06802682816372532,4.4644785300005,3.2258341849973426,4.744328783807565,14.13493107624278
events,12,euclidean,sqrt,uniform,1000,-0.22924215433333336,4.541324140425853,-0.07454786199999992,4.474454296039261,3.23682525098949,4.754106169961984,14.180281064160024
events,5,euclidean,none,inverse,1000,-0.3292404941273388,4.313568495435142,-0.08150706753516054,4.423249559893331,3.3006473773317317,4.7662351315042395,13.209839381561375
events,5,euclidean,none,inverse2,1000,-0.32521220570438186,4.304759217831214,-0.08188141769320137,4.4123226563459115,3.2919545694947763,4.767657030354649,13.053347796744992
events,12,euclidean,none,inverse2,1000,-0.41369344814012515,4.186000392362535,-0.21289219625391081,4.133459923708479,3.255358942183962,4.776304741928847,13.079648231973682
events,5,euclidean,none,uniform,1000,-0.33313117099999995,4.324456071112127,-0.08171960899999976,4.437123049212763,3.3181103381122274,4.782918183293257,13.357422739656089
events,8,euclidean,none,inverse2,1000,-0.38536143950883744,4.283539077762881,-0.17693253703082493,4.248741365147789,3.2673564217098896,4.798241590392634,13.399468468487736
events,12,euclidean,none,inverse,1000,-0.42228944165836196,4.193979941873426,-0.22332794848253076,4.14271495868218,3.322114425789274,4.821532523738558,13.150773371572619
events,12,euclidean,none,uniform,1000,-0.43025241100000017,4.203523286520447,-0.23363877366666666,4.153409153457668,3.3286375600197857,4.827257471788176,13.180428580018182
events,24,euclidean,sqrt,inverse2,1000,-0.2033826971806406,4.390508847849635,-0.03741284412421138,4.392387406023095,3.1887900717201,4.830241993756373,14.15148428923394
events,24,euclidean,sqrt,inverse,1000,-0.20557345173576175,4.394358359978614,-0.04084706216130367,4.400541017682875,3.2086992737108755,4.837886849798073,14.180931581027043
events,16,euclidean,none,inverse2,1000,-0.4512526740699179,4.15227393211472,-0.2574141745761516,4.154998450340964,3.3132287134612763,4.840662391104419,12.939311860397373
events,8,euclidean,none,inverse,1000,-0.39387578113136074,4.296931442892173,-0.18339171982196273,4.2594549293988,3.3264538176422898,4.840794651295894,13.48588187852174
events,32,euclidean,sqrt,inverse2,1000,-0.21208400703036195,4.380478435308228,-0.07060019568503866,4.384051286255008,3.2292249415660077,4.858323990858399,14.05291181633126
events,24,euclidean,sqrt,uniform,1000,-0.20739882433333362,4.398479091257362,-0.04373976366666682,4.4086496036253005,3.2033559926854958,4.866364042163399,14.209974926329368
events,32,euclidean,sqrt,inverse,1000,-0.21484011805120592,4.385828071538164,-0.07530536862406774,4.392133355808279,3.2439449705581307,4.878954261418157,14.166419544195138
