quadrant,quadrant_label,source_copy_positive_quadrant,virtual_copy_in_quadrant
Q++,"+x,+z",100,100
Q++,"+x,+z",101,101
Q++,"+x,+z",102,102
Q++,"+x,+z",103,103
Q++,"+x,+z",104,104
Q++,"+x,+z",105,105
Q++,"+x,+z",106,106
Q++,"+x,+z",107,107
Q++,"+x,+z",108,108
Q++,"+x,+z",109,109
Q++,"+x,+z",110,110
Q++,"+x,+z",111,111
Q++,"+x,+z",112,112
Q++,"+x,+z",113,113
Q++,"+x,+z",114,114
Q++,"+x,+z",115,115
Q++,"+x,+z",200,200
Q++,"+x,+z",201,201
Q++,"+x,+z",202,202
Q++,"+x,+z",203,203
Q++,"+x,+z",204,204
Q++,"+x,+z",205,205
Q++,"+x,+z",206,206
Q++,"+x,+z",207,207
Q++,"+x,+z",208,208
Q++,"+x,+z",209,209
Q++,"+x,+z",210,210
Q++,"+x,+z",211,211
Q++,"+x,+z",212,212
Q++,"+x,+z",213,213
Q++,"+x,+z",214,214
Q++,"+x,+z",215,215
Q++,"+x,+z",300,300
Q++,"+x,+z",301,301
Q++,"+x,+z",302,302
Q++,"+x,+z",303,303
Q++,"+x,+z",304,304
Q++,"+x,+z",305,305
Q++,"+x,+z",306,306
Q++,"+x,+z",307,307
Q++,"+x,+z",308,308
Q++,"+x,+z",309,309
Q++,"+x,+z",310,310
Q++,"+x,+z",311,311
Q++,"+x,+z",312,312
Q++,"+x,+z",313,313
Q++,"+x,+z",314,314
Q++,"+x,+z",315,315
Q++,"+x,+z",400,400
Q++,"+x,+z",401,401
Q++,"+x,+z",402,402
Q++,"+x,+z",403,403
Q++,"+x,+z",404,404
Q++,"+x,+z",405,405
Q++,"+x,+z",406,406
Q++,"+x,+z",407,407
Q++,"+x,+z",408,408
Q++,"+x,+z",409,409
Q++,"+x,+z",410,410
Q++,"+x,+z",411,411
Q++,"+x,+z",412,412
Q++,"+x,+z",413,413
Q++,"+x,+z",414,414
Q++,"+x,+z",415,415
Q-+,"-x,+z",100,115
Q-+,"-x,+z",101,114
Q-+,"-x,+z",102,113
Q-+,"-x,+z",103,112
Q-+,"-x,+z",104,111
Q-+,"-x,+z",105,110
Q-+,"-x,+z",106,109
Q-+,"-x,+z",107,108
Q-+,"-x,+z",108,107
Q-+,"-x,+z",109,106
Q-+,"-x,+z",110,105
Q-+,"-x,+z",111,104
Q-+,"-x,+z",112,103
Q-+,"-x,+z",113,102
Q-+,"-x,+z",114,101
Q-+,"-x,+z",115,100
Q-+,"-x,+z",200,215
Q-+,"-x,+z",201,214
Q-+,"-x,+z",202,213
Q-+,"-x,+z",203,212
Q-+,"-x,+z",204,211
Q-+,"-x,+z",205,210
Q-+,"-x,+z",206,209
Q-+,"-x,+z",207,208
Q-+,"-x,+z",208,207
Q-+,"-x,+z",209,206
Q-+,"-x,+z",210,205
Q-+,"-x,+z",211,204
Q-+,"-x,+z",212,203
Q-+,"-x,+z",213,202
Q-+,"-x,+z",214,201
Q-+,"-x,+z",215,200
Q-+,"-x,+z",300,400
Q-+,"-x,+z",301,401
Q-+,"-x,+z",302,402
Q-+,"-x,+z",303,403
Q-+,"-x,+z",304,404
Q-+,"-x,+z",305,405
Q-+,"-x,+z",306,406
Q-+,"-x,+z",307,407
Q-+,"-x,+z",308,408
Q-+,"-x,+z",309,409
Q-+,"-x,+z",310,410
Q-+,"-x,+z",311,411
Q-+,"-x,+z",312,412
Q-+,"-x,+z",313,413
Q-+,"-x,+z",314,414
Q-+,"-x,+z",315,415
Q-+,"-x,+z",400,300
Q-+,"-x,+z",401,301
Q-+,"-x,+z",402,302
Q-+,"-x,+z",403,303
Q-+,"-x,+z",404,304
Q-+,"-x,+z",405,305
Q-+,"-x,+z",406,306
Q-+,"-x,+z",407,307
Q-+,"-x,+z",408,308
Q-+,"-x,+z",409,309
Q-+,"-x,+z",410,310
Q-+,"-x,+z",411,311
Q-+,"-x,+z",412,312
Q-+,"-x,+z",413,313
Q-+,"-x,+z",414,314
Q-+,"-x,+z",415,315
Q+-,"+x,-z",100,200
Q+-,"+x,-z",101,201
Q+-,"+x,-z",102,202
Q+-,"+x,-z",103,203
Q+-,"+x,-z",104,204
Q+-,"+x,-z",105,205
Q+-,"+x,-z",106,206
Q+-,"+x,-z",107,207
Q+-,"+x,-z",108,208
Q+-,"+x,-z",109,209
Q+-,"+x,-z",110,210
Q+-,"+x,-z",111,211
Q+-,"+x,-z",112,212
Q+-,"+x,-z",113,213
Q+-,"+x,-z",114,214
Q+-,"+x,-z",115,215
Q+-,"+x,-z",200,100
Q+-,"+x,-z",201,101
Q+-,"+x,-z",202,102
Q+-,"+x,-z",203,103
Q+-,"+x,-z",204,104
Q+-,"+x,-z",205,105
Q+-,"+x,-z",206,106
Q+-,"+x,-z",207,107
Q+-,"+x,-z",208,108
Q+-,"+x,-z",209,109
Q+-,"+x,-z",210,110
Q+-,"+x,-z",211,111
Q+-,"+x,-z",212,112
Q+-,"+x,-z",213,113
Q+-,"+x,-z",214,114
Q+-,"+x,-z",215,115
Q+-,"+x,-z",300,315
Q+-,"+x,-z",301,314
Q+-,"+x,-z",302,313
Q+-,"+x,-z",303,312
Q+-,"+x,-z",304,311
Q+-,"+x,-z",305,310
Q+-,"+x,-z",306,309
Q+-,"+x,-z",307,308
