reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,12,euclidean,l1,inverse2,1000,0.03513464419096161,2.257769623340159,0.08438672347207467,2.3501908798178186,2.3490289424092587,3.1145862177011336,6.235042783249857
events,12,euclidean,l1,inverse,1000,0.033665299948716025,2.258353672162404,0.08473213089762298,2.354404482257596,2.3568457811393593,3.119699279514747,6.289607817250275
events,12,euclidean,l1,uniform,1000,0.03186892149999993,2.2623130171361776,0.0847958221666668,2.3613291039208684,2.340497590016857,3.1475012041138255,6.365971474879347
events,8,euclidean,l1,inverse2,1000,0.0503894587055701,2.3058594859876878,0.10476419043732593,2.394032018660926,2.3413331556027774,3.1657411154209303,6.210947330735252
templates,3,euclidean,l1,inverse2,1000,0.06434690064250612,2.293779524709146,0.07853943762938481,2.405981445730762,2.441596837652365,3.172348750750201,6.278006258051845
events,8,euclidean,l1,uniform,1000,0.05080830025000012,2.3017637945146254,0.10714432550000004,2.403695116786427,2.361134052844146,3.1755305049656952,6.171614474369175
events,8,euclidean,l1,inverse,1000,0.05078756903948181,2.30209756041148,0.10625725943504963,2.3973603477450416,2.3354738412065403,3.1886461316784183,6.175606233201917
events,16,euclidean,l1,inverse2,1000,0.03771854952493365,2.2404161725112677,0.08455690768749498,2.3507670471274777,2.318679258945801,3.190066233661951,6.2862530440107856
events,24,euclidean,l1,inverse2,1000,0.01849313371841168,2.257191126149652,0.0913750050686424,2.3565406519106316,2.2954059169008527,3.207271292985383,6.164007744364029
events,12,euclidean,none,inverse2,1000,-0.00029110094354724227,2.1948357547839086,0.0456534205918253,2.3517093573954186,2.3871701247236548,3.2091995369243245,6.038495988396867
templates,3,euclidean,l1,inverse,1000,0.05845735376893913,2.304628704867218,0.08143596329168518,2.430141107522229,2.4996915409151246,3.2134899961378527,6.284399909095242
events,16,euclidean,l1,uniform,1000,0.037171967125000004,2.2477865431362916,0.08574278425000005,2.372042881885238,2.323556751043382,3.222905026480592,6.206094933127577
events,16,euclidean,l1,inverse,1000,0.03742134596098809,2.2426188818437995,0.08521993949655636,2.359988693412319,2.3077892453321147,3.224678481788525,6.239217159754402
templates,5,euclidean,l1,inverse2,1000,0.0482833373638874,2.2641556702513066,0.06833940152276337,2.3875945188684438,2.344208752849665,3.225080142288225,6.379106125885577
events,24,euclidean,none,inverse2,1000,-0.01999454370463687,2.254751218929933,0.030489866313025395,2.393830937072483,2.4130940968031087,3.2417774838175095,6.091875416234954
events,16,euclidean,none,inverse2,1000,0.0018198865522201118,2.2179720422525677,0.03936073341496958,2.364424499010565,2.4106989102623335,3.249268573752108,6.052626627927534
events,12,euclidean,none,inverse,1000,-0.002555942965339028,2.2122032370529636,0.0456005531099175,2.369035665198206,2.37034951603696,3.251351881505988,6.118272170619026
events,32,euclidean,l1,inverse,1000,0.014741099065051411,2.2849923897454825,0.09100655930817425,2.3902516081711074,2.3641481241964657,3.252967963308371,6.265903198528664
events,24,euclidean,none,inverse,1000,-0.02714653613539631,2.286559284800138,0.028114070698549504,2.4222034164181925,2.447316291766297,3.2546561113928516,6.13000902993218
events,24,euclidean,l1,inverse,1000,0.016018965730219062,2.2647250093150983,0.09344580247370518,2.3726962235577913,2.326922455382624,3.2591661970455013,6.1962841791199805
events,32,euclidean,l1,inverse2,1000,0.017153474408435777,2.271347798489779,0.08850639552777599,2.3687732156420647,2.3313671936765266,3.261570612320759,6.3386319722912114
events,12,euclidean,none,uniform,1000,-0.00424203016666673,2.2322934747676055,0.045149433000000114,2.388138029805541,2.373313095406332,3.2651371547997603,6.169366674384076
events,16,euclidean,none,inverse,1000,-0.0011339560625450674,2.2417061735922674,0.03783535593439922,2.384896922468732,2.4089585477797506,3.2692617875058105,6.151046367542863
templates,5,euclidean,l1,inverse,1000,0.04035277617852642,2.2968616827710835,0.0677245516697217,2.4381918212535862,2.4001997406827553,3.271297049109357,6.562113101602597
events,48,euclidean,l1,inverse2,1000,0.0028297238925410755,2.3093993672237136,0.07995996505282807,2.419690495755155,2.3790204235505366,3.2716159192888083,6.500474426613855
events,24,euclidean,l1,uniform,1000,0.013434604833333147,2.274818047654322,0.09552817716666673,2.3912002068489486,2.3535151308973603,3.273190997364552,6.178340833512041
