x,y
0.1796230745,0.0639883794
0.7201708447,0.0785424607
0.3595073309,0.0806239847
0.9099339083,0.0810898639
0.5319495035,0.0811781566
0.0455986106,0.1064489496
0.2327459569,0.2479637904
0.6007981935,0.2671476280
0.4105584792,0.2767656000
0.7949704258,0.2827875071
0.9720558915,0.2858268632
0.0873331726,0.2960978121
0.4622704948,0.4428800004
0.2533814321,0.4436054197
0.6774168614,0.4450723953
0.0568248283,0.4656243658
0.8991729182,0.4750550478
0.1039030808,0.6108062940
0.3206702441,0.6119388953
0.5408980244,0.6165157227
0.7389426168,0.6226529246
0.9468305525,0.6505822973
0.0434695641,0.7755275931
0.8788099574,0.7801069732
0.2371908970,0.7807676873
0.4462711552,0.7857156813
0.6576865698,0.8056105063
0.9551278943,0.8971378740
0.1002500766,0.9450922491
0.3177390467,0.9472223026
0.5401298492,0.9641851950
0.7732384663,0.9651512229
