sipm_id,copy_number,x_unit,z_unit,x_mm,z_mm
0,0,0.1796230745,0.0639883794,-320.376925,-436.011621
1,1,0.7201708447,0.0785424607,220.170845,-421.457539
2,2,0.3595073309,0.0806239847,-140.492669,-419.376015
3,3,0.9099339083,0.0810898639,409.933908,-418.910136
4,4,0.5319495035,0.0811781566,31.949504,-418.821843
5,5,0.0455986106,0.1064489496,-454.401389,-393.551050
6,6,0.2327459569,0.2479637904,-267.254043,-252.036210
7,7,0.6007981935,0.2671476280,100.798193,-232.852372
8,8,0.4105584792,0.2767656000,-89.441521,-223.234400
9,9,0.7949704258,0.2827875071,294.970426,-217.212493
10,10,0.9720558915,0.2858268632,472.055892,-214.173137
11,11,0.0873331726,0.2960978121,-412.666827,-203.902188
12,12,0.4622704948,0.4428800004,-37.729505,-57.120000
13,13,0.2533814321,0.4436054197,-246.618568,-56.394580
14,14,0.6774168614,0.4450723953,177.416861,-54.927605
15,15,0.0568248283,0.4656243658,-443.175172,-34.375634
16,16,0.8991729182,0.4750550478,399.172918,-24.944952
17,17,0.1039030808,0.6108062940,-396.096919,110.806294
18,18,0.3206702441,0.6119388953,-179.329756,111.938895
19,19,0.5408980244,0.6165157227,40.898024,116.515723
20,20,0.7389426168,0.6226529246,238.942617,122.652925
21,21,0.9468305525,0.6505822973,446.830553,150.582297
22,22,0.0434695641,0.7755275931,-456.530436,275.527593
23,23,0.8788099574,0.7801069732,378.809957,280.106973
24,24,0.2371908970,0.7807676873,-262.809103,280.767687
25,25,0.4462711552,0.7857156813,-53.728845,285.715681
26,26,0.6576865698,0.8056105063,157.686570,305.610506
27,27,0.9551278943,0.8971378740,455.127894,397.137874
28,28,0.1002500766,0.9450922491,-399.749923,445.092249
29,29,0.3177390467,0.9472223026,-182.260953,447.222303
30,30,0.5401298492,0.9641851950,40.129849,464.185195
31,31,0.7732384663,0.9651512229,273.238466,465.151223
