channel,energy_keV,counts,count_rate_cps
0,8.335296,85,0.001076562599
1,10.689394,426,0.005395478437
2,13.044227,1084,0.0137293395
3,15.399797,1460,0.01849154582
4,17.756102,1501,0.01901082895
5,20.113144,1607,0.02035336584
6,22.470922,1660,0.02102463429
7,24.829435,1610,0.02039136217
8,27.188685,1588,0.02011272244
9,29.548671,1612,0.02041669305
10,31.909393,1681,0.02129060857
11,34.270850,1736,0.0219872079
12,36.633044,1718,0.02175922994
13,38.995974,1820,0.02305110506
14,41.359640,1966,0.02490025964
15,43.724042,2028,0.02568551707
16,46.089180,2243,0.02840858717
17,48.455054,2499,0.03165094041
18,50.821664,2742,0.0347286429
19,53.189010,3143,0.03980748528
20,55.557092,3525,0.04464568425
21,57.925911,3754,0.04754607055
22,60.295465,4308,0.0545627256
23,62.665755,4550,0.05762776265
24,65.036781,5349,0.06774745108
25,67.408543,5399,0.0683807232
26,69.781042,5747,0.07278829713
27,72.154276,6048,0.07660059528
28,74.528247,6350,0.08042555886
29,76.902953,6583,0.08337660693
30,79.278395,6726,0.08518776518
31,81.654574,6764,0.08566905199
32,84.031488,7025,0.08897473244
33,86.409139,6942,0.08792350073
34,88.787525,6960,0.08815147869
35,91.166648,7123,0.09021594579
36,93.546507,6945,0.08796149706
37,95.927101,6716,0.08506111076
38,98.308432,6835,0.0865682984
39,100.690499,6781,0.08588436451
40,103.073302,6709,0.08497245266
41,105.456840,6411,0.08119815085
42,107.841115,6445,0.08162877588
43,110.226126,6279,0.07952631246
44,112.611873,6131,0.07765182699
45,114.998356,5999,0.0759799886
46,117.385575,5798,0.07343423469
47,119.773530,5707,0.07228167944
48,122.162221,5622,0.07120511684
49,124.551648,5326,0.06745614591
50,126.941811,5299,0.06711417896
51,129.332710,5061,0.06409980369
52,131.724345,4854,0.06147805712
53,134.116716,4775,0.06047748718
54,136.509824,4616,0.05846368184
55,138.903667,4413,0.05589259705
56,141.298246,4443,0.05627256032
57,143.693561,4232,0.05360015199
58,146.089613,3993,0.05057311127
59,148.486400,3991,0.05054778038
60,150.883923,3785,0.04793869926
61,153.282183,3621,0.04586156672
