source_quadrant,source_copy,source_x_mm,source_z_mm,virtual_quadrant,virtual_quadrant_label,target_copy,target_x_mm,target_z_mm
Q++,20,166.719300,83.280700,Q++,"+x,+z",20,166.719300,83.280700
Q++,20,166.719300,83.280700,Q-+,"-x,+z",18,-166.719300,83.280700
Q++,20,166.719300,83.280700,Q+-,"+x,-z",13,166.719300,-83.280700
Q++,20,166.719300,83.280700,Q--,"-x,-z",11,-166.719300,-83.280700
Q++,21,83.280700,166.719300,Q++,"+x,+z",21,83.280700,166.719300
Q++,21,83.280700,166.719300,Q-+,"-x,+z",19,-83.280700,166.719300
Q++,21,83.280700,166.719300,Q+-,"+x,-z",12,83.280700,-166.719300
Q++,21,83.280700,166.719300,Q--,"-x,-z",10,-83.280700,-166.719300
Q++,22,333.280700,83.280700,Q++,"+x,+z",22,333.280700,83.280700
Q++,22,333.280700,83.280700,Q-+,"-x,+z",16,-333.280700,83.280700
Q++,22,333.280700,83.280700,Q+-,"+x,-z",15,333.280700,-83.280700
Q++,22,333.280700,83.280700,Q--,"-x,-z",9,-333.280700,-83.280700
Q++,23,416.719300,166.719300,Q++,"+x,+z",23,416.719300,166.719300
Q++,23,416.719300,166.719300,Q-+,"-x,+z",17,-416.719300,166.719300
Q++,23,416.719300,166.719300,Q+-,"+x,-z",14,416.719300,-166.719300
Q++,23,416.719300,166.719300,Q--,"-x,-z",8,-416.719300,-166.719300
Q++,28,83.280700,333.280700,Q++,"+x,+z",28,83.280700,333.280700
Q++,28,83.280700,333.280700,Q-+,"-x,+z",26,-83.280700,333.280700
Q++,28,83.280700,333.280700,Q+-,"+x,-z",5,83.280700,-333.280700
Q++,28,83.280700,333.280700,Q--,"-x,-z",3,-83.280700,-333.280700
Q++,29,166.719300,416.719300,Q++,"+x,+z",29,166.719300,416.719300
Q++,29,166.719300,416.719300,Q-+,"-x,+z",27,-166.719300,416.719300
Q++,29,166.719300,416.719300,Q+-,"+x,-z",4,166.719300,-416.719300
Q++,29,166.719300,416.719300,Q--,"-x,-z",2,-166.719300,-416.719300
Q++,30,416.719300,333.280700,Q++,"+x,+z",30,416.719300,333.280700
Q++,30,416.719300,333.280700,Q-+,"-x,+z",24,-416.719300,333.280700
Q++,30,416.719300,333.280700,Q+-,"+x,-z",7,416.719300,-333.280700
Q++,30,416.719300,333.280700,Q--,"-x,-z",1,-416.719300,-333.280700
Q++,31,333.280700,416.719300,Q++,"+x,+z",31,333.280700,416.719300
Q++,31,333.280700,416.719300,Q-+,"-x,+z",25,-333.280700,416.719300
Q++,31,333.280700,416.719300,Q+-,"+x,-z",6,333.280700,-416.719300
Q++,31,333.280700,416.719300,Q--,"-x,-z",0,-333.280700,-416.719300
