event_id,source_index,x_cm,y_cm,z_cm
0,0,3.642356,5.000000,4.648725
1,1,-16.058593,5.000000,31.950654
2,2,-28.203488,5.000000,37.536236
3,3,7.138730,5.000000,-10.962076
4,4,-40.417835,5.000000,-15.190685
5,5,42.222170,5.000000,6.820260
6,6,9.772955,5.000000,47.584927
7,7,-37.218625,5.000000,30.350930
8,8,28.503899,5.000000,49.265579
9,9,-30.469253,5.000000,-25.870526
10,10,-28.121024,5.000000,16.275404
11,11,5.363044,5.000000,-12.900205
12,12,-39.693423,5.000000,-19.209996
13,13,26.339603,5.000000,5.967201
14,14,42.903832,5.000000,-44.758178
15,15,18.284676,5.000000,12.546127
16,16,45.254858,5.000000,-16.272066
17,17,-32.234519,5.000000,21.095804
18,18,-1.001354,5.000000,8.677641
19,19,23.635913,5.000000,-41.135424
20,20,-33.967633,5.000000,47.536749
21,21,26.270767,5.000000,-15.036336
22,22,-3.669625,5.000000,-0.370421
23,23,43.104059,5.000000,24.902803
24,24,-48.063613,5.000000,28.418314
25,25,29.692241,5.000000,15.687271
26,26,-14.448010,5.000000,-49.327394
27,27,-33.822434,5.000000,5.046971
28,28,31.027138,5.000000,4.580841
29,29,-39.895395,5.000000,-41.665565
30,30,23.827544,5.000000,-40.704786
31,31,18.544066,5.000000,-48.064187
32,32,4.153600,5.000000,-13.545431
33,33,30.599469,5.000000,-49.328182
34,34,-33.306358,5.000000,-27.712663
35,35,28.400900,5.000000,-17.588537
36,36,-1.104225,5.000000,-28.575969
37,37,35.106768,5.000000,-39.101097
38,38,-5.405620,5.000000,24.970575
39,39,-17.697792,5.000000,-40.630867
40,40,46.586857,5.000000,27.264879
41,41,39.642999,5.000000,43.038911
42,42,47.903866,5.000000,-13.501610
43,43,44.665657,5.000000,49.562869
44,44,-43.397638,5.000000,-29.141934
45,45,-23.428036,5.000000,45.148941
46,46,6.288882,5.000000,48.297162
47,47,17.681136,5.000000,-31.752762
48,48,4.911800,5.000000,-24.322434
49,49,5.159743,5.000000,-22.023140
50,50,-43.165488,5.000000,-21.338453
51,51,39.638090,5.000000,-2.339829
52,52,33.040942,5.000000,0.845080
53,53,9.344085,5.000000,3.933134
54,54,-14.508669,5.000000,42.389701
55,55,-34.851404,5.000000,16.306047
56,56,38.792763,5.000000,-18.593864
57,57,-12.477064,5.000000,6.226544
58,58,9.874267,5.000000,-7.267606
59,59,-41.200916,5.000000,11.157265
60,60,31.810879,5.000000,15.277711
61,61,32.792257,5.000000,-12.860264
62,62,-23.166952,5.000000,44.394695
63,63,26.107207,5.000000,-4.248357
64,64,42.409252,5.000000,-41.134107
65,65,-4.588013,5.000000,-23.816490
66,66,-29.526485,5.000000,-18.744085
67,67,10.674760,5.000000,29.504959
68,68,-4.414561,5.000000,24.420397
69,69,-18.665106,5.000000,8.392384
70,70,21.373556,5.000000,38.079427
