event_id,run_id,x,y,z,unit,true_x_cm,true_y_cm,true_z_cm
0,0,-28.545317,5.000000,-26.460762,cm,-28.545317,5.000000,-26.460762
1,1,-15.649844,5.000000,15.334051,cm,-15.649844,5.000000,15.334051
2,2,-14.067433,5.000000,-14.821191,cm,-14.067433,5.000000,-14.821191
3,3,40.748792,5.000000,-42.249935,cm,40.748792,5.000000,-42.249935
4,4,10.940445,5.000000,-2.713961,cm,10.940445,5.000000,-2.713961
5,5,35.573892,5.000000,21.940676,cm,35.573892,5.000000,21.940676
6,6,7.002681,5.000000,19.957169,cm,7.002681,5.000000,19.957169
7,7,-7.547735,5.000000,40.753859,cm,-7.547735,5.000000,40.753859
8,8,20.908705,5.000000,-22.693014,cm,20.908705,5.000000,-22.693014
9,9,-27.501002,5.000000,41.320607,cm,-27.501002,5.000000,41.320607
10,10,-43.453651,5.000000,-29.190627,cm,-43.453651,5.000000,-29.190627
11,11,5.924890,5.000000,-11.870371,cm,5.924890,5.000000,-11.870371
12,12,-1.695640,5.000000,34.332841,cm,-1.695640,5.000000,34.332841
13,13,-17.045824,5.000000,36.450346,cm,-17.045824,5.000000,36.450346
14,14,-20.101295,5.000000,9.032697,cm,-20.101295,5.000000,9.032697
15,15,15.275216,5.000000,12.986055,cm,15.275216,5.000000,12.986055
16,16,43.295931,5.000000,42.497642,cm,43.295931,5.000000,42.497642
17,17,-26.961934,5.000000,15.012715,cm,-26.961934,5.000000,15.012715
18,18,24.775617,5.000000,18.138599,cm,24.775617,5.000000,18.138599
19,19,-13.685236,5.000000,35.674658,cm,-13.685236,5.000000,35.674658
20,20,35.102793,5.000000,-45.342337,cm,35.102793,5.000000,-45.342337
21,21,41.865224,5.000000,-12.584555,cm,41.865224,5.000000,-12.584555
22,22,10.938355,5.000000,-29.022922,cm,10.938355,5.000000,-29.022922
23,23,-9.928427,5.000000,22.311976,cm,-9.928427,5.000000,22.311976
24,24,-35.663066,5.000000,-31.935458,cm,-35.663066,5.000000,-31.935458
25,25,22.337932,5.000000,37.164202,cm,22.337932,5.000000,37.164202
26,26,-17.325940,5.000000,-17.521071,cm,-17.325940,5.000000,-17.521071
27,27,47.069249,5.000000,16.153407,cm,47.069249,5.000000,16.153407
28,28,-43.674419,5.000000,30.405821,cm,-43.674419,5.000000,30.405821
29,29,20.784154,5.000000,11.297765,cm,20.784154,5.000000,11.297765
30,30,33.639618,5.000000,-32.050805,cm,33.639618,5.000000,-32.050805
31,31,-44.579989,5.000000,-46.671529,cm,-44.579989,5.000000,-46.671529
32,32,-4.361261,5.000000,34.080776,cm,-4.361261,5.000000,34.080776
33,33,-12.432499,5.000000,-12.564117,cm,-12.432499,5.000000,-12.564117
34,34,-15.419763,5.000000,10.910240,cm,-15.419763,5.000000,10.910240
35,35,-44.173665,5.000000,-40.233126,cm,-44.173665,5.000000,-40.233126
36,36,-17.489947,5.000000,2.731411,cm,-17.489947,5.000000,2.731411
37,37,15.244422,5.000000,-20.360768,cm,15.244422,5.000000,-20.360768
38,38,6.686380,5.000000,-43.456093,cm,6.686380,5.000000,-43.456093
39,39,-8.335664,5.000000,-36.330272,cm,-8.335664,5.000000,-36.330272
40,40,16.194548,5.000000,-32.800677,cm,16.194548,5.000000,-32.800677
41,41,-34.392192,5.000000,48.564858,cm,-34.392192,5.000000,48.564858
42,42,40.473016,5.000000,8.851378,cm,40.473016,5.000000,8.851378
43,43,-42.112230,5.000000,35.835993,cm,-42.112230,5.000000,35.835993
44,44,41.388127,5.000000,-0.580413,cm,41.388127,5.000000,-0.580413
45,45,19.476035,5.000000,-27.564833,cm,19.476035,5.000000,-27.564833
46,46,7.163853,5.000000,-37.963081,cm,7.163853,5.000000,-37.963081
47,47,28.032570,5.000000,45.947521,cm,28.032570,5.000000,45.947521
48,48,13.007945,5.000000,2.749575,cm,13.007945,5.000000,2.749575
49,49,-3.929491,5.000000,-45.821623,cm,-3.929491,5.000000,-45.821623
50,50,23.201673,5.000000,37.877269,cm,23.201673,5.000000,37.877269
51,51,11.609369,5.000000,34.559037,cm,11.609369,5.000000,34.559037
52,52,-4.941383,5.000000,-22.453588,cm,-4.941383,5.000000,-22.453588
53,53,-11.566282,5.000000,5.396586,cm,-11.566282,5.000000,5.396586
54,54,9.683600,5.000000,14.005417,cm,9.683600,5.000000,14.005417
55,55,-4.631590,5.000000,14.127398,cm,-4.631590,5.000000,14.127398
56,56,7.669190,5.000000,29.645584,cm,7.669190,5.000000,29.645584
57,57,34.526543,5.000000,34.790784,cm,34.526543,5.000000,34.790784
58,58,8.395325,5.000000,-49.460241,cm,8.395325,5.000000,-49.460241
59,59,-46.439964,5.000000,-16.896114,cm,-46.439964,5.000000,-16.896114
60,60,-45.883630,5.000000,36.798951,cm,-45.883630,5.000000,36.798951
61,61,-12.553192,5.000000,43.431025,cm,-12.553192,5.000000,43.431025
62,62,-33.235189,5.000000,21.920008,cm,-33.235189,5.000000,21.920008
