event_id,run_id,x,y,z,unit,true_x_cm,true_y_cm,true_z_cm
0,0,37.404225,5.000000,43.718928,cm,37.404225,5.000000,43.718928
1,1,47.701688,5.000000,22.787478,cm,47.701688,5.000000,22.787478
2,2,19.626053,5.000000,34.327928,cm,19.626053,5.000000,34.327928
3,3,0.803617,5.000000,23.404323,cm,0.803617,5.000000,23.404323
4,4,5.686177,5.000000,31.440868,cm,5.686177,5.000000,31.440868
5,5,10.841590,5.000000,28.437459,cm,10.841590,5.000000,28.437459
6,6,44.734563,5.000000,0.104968,cm,44.734563,5.000000,0.104968
7,7,44.673143,5.000000,38.467006,cm,44.673143,5.000000,38.467006
8,8,0.371960,5.000000,18.571013,cm,0.371960,5.000000,18.571013
9,9,27.834088,5.000000,3.673582,cm,27.834088,5.000000,3.673582
10,10,41.744191,5.000000,40.363385,cm,41.744191,5.000000,40.363385
11,11,34.482223,5.000000,46.496789,cm,34.482223,5.000000,46.496789
12,12,36.802883,5.000000,45.873989,cm,36.802883,5.000000,45.873989
13,13,27.284124,5.000000,38.248918,cm,27.284124,5.000000,38.248918
14,14,35.931596,5.000000,46.349894,cm,35.931596,5.000000,46.349894
15,15,2.540299,5.000000,11.601438,cm,2.540299,5.000000,11.601438
16,16,3.742882,5.000000,29.870405,cm,3.742882,5.000000,29.870405
17,17,39.008579,5.000000,12.336321,cm,39.008579,5.000000,12.336321
18,18,30.304379,5.000000,2.438858,cm,30.304379,5.000000,2.438858
19,19,12.039037,5.000000,40.012059,cm,12.039037,5.000000,40.012059
20,20,1.619384,5.000000,48.043225,cm,1.619384,5.000000,48.043225
21,21,47.163382,5.000000,17.554646,cm,47.163382,5.000000,17.554646
22,22,17.983000,5.000000,14.854200,cm,17.983000,5.000000,14.854200
23,23,37.586236,5.000000,30.117423,cm,37.586236,5.000000,30.117423
24,24,44.340391,5.000000,8.795780,cm,44.340391,5.000000,8.795780
25,25,0.655689,5.000000,32.184854,cm,0.655689,5.000000,32.184854
26,26,39.108633,5.000000,14.354581,cm,39.108633,5.000000,14.354581
27,27,23.342502,5.000000,13.577344,cm,23.342502,5.000000,13.577344
28,28,44.615231,5.000000,42.108253,cm,44.615231,5.000000,42.108253
29,29,34.123766,5.000000,7.047233,cm,34.123766,5.000000,7.047233
30,30,19.953813,5.000000,29.279430,cm,19.953813,5.000000,29.279430
31,31,38.927262,5.000000,45.584704,cm,38.927262,5.000000,45.584704
32,32,28.697951,5.000000,10.213239,cm,28.697951,5.000000,10.213239
33,33,38.023065,5.000000,13.334495,cm,38.023065,5.000000,13.334495
34,34,5.428191,5.000000,8.949352,cm,5.428191,5.000000,8.949352
35,35,47.655605,5.000000,11.066890,cm,47.655605,5.000000,11.066890
36,36,11.171013,5.000000,42.849112,cm,11.171013,5.000000,42.849112
37,37,30.017923,5.000000,19.189722,cm,30.017923,5.000000,19.189722
38,38,9.402066,5.000000,23.124054,cm,9.402066,5.000000,23.124054
39,39,42.612849,5.000000,7.405938,cm,42.612849,5.000000,7.405938
40,40,20.049145,5.000000,1.944641,cm,20.049145,5.000000,1.944641
41,41,27.184452,5.000000,21.633454,cm,27.184452,5.000000,21.633454
42,42,39.739759,5.000000,15.380630,cm,39.739759,5.000000,15.380630
43,43,23.597559,5.000000,42.831311,cm,23.597559,5.000000,42.831311
44,44,47.867552,5.000000,28.130194,cm,47.867552,5.000000,28.130194
45,45,39.174449,5.000000,45.426855,cm,39.174449,5.000000,45.426855
46,46,20.012686,5.000000,14.693327,cm,20.012686,5.000000,14.693327
47,47,47.447319,5.000000,13.379853,cm,47.447319,5.000000,13.379853
48,48,1.320699,5.000000,41.029207,cm,1.320699,5.000000,41.029207
49,49,47.374542,5.000000,4.970504,cm,47.374542,5.000000,4.970504
50,50,18.087091,5.000000,42.105658,cm,18.087091,5.000000,42.105658
51,51,48.081747,5.000000,43.095669,cm,48.081747,5.000000,43.095669
52,52,5.899771,5.000000,20.475244,cm,5.899771,5.000000,20.475244
53,53,5.009462,5.000000,12.814624,cm,5.009462,5.000000,12.814624
